sentiment,content,sentiment_type
2,find hours apple store im curious,positive
2,yes rt haha drinking game drink every time seth says game layer google ventures cc,positive
2,next big thing hmmm rt google launch major new social network called circles possibly today link,positive
3,google maps street view car sighting link,no sentiment
1,novelty ipad news apps fades fast among delegates link,negative
2,apple store downtown austin open til midnight,positive
3,apple quarter music industry digital sales,no sentiment
2,cameron sinclair spearheads japan disaster relief via twitter amp iphone link,positive
2,friends new blog post hootsuite mobile updates iphone blackberry amp android link,positive
3,apple opens quotupquot store rt smart well played fruit co link via,no sentiment
2,devices enough go apple popup store new ipad2 link,positive
2,gee wonder many android apps updating,positive
2,evolved novelty game essential utility link via,positive
2,apple set open popup shop core action link,positive
0,quotthe internets meanour systems complex go google complex systems fail doctorquot,cannot say
3,even begins wins link,no sentiment
3,hand judging popup store constant line apple ipad2 clearly breaking,no sentiment
3,check rt 30 line apple popup store austin opens pm link,no sentiment
3,great see topics avoiding sexyhot ipad conversation hit heart soul accessibility developing world,no sentiment
2,let know dont get apple tv colleague wholl fly vegas short trip days,positive
2,party time thanks,positive
2,apple opening popup store austin sxsw link,positive
3,iphone app unreal clicked location amp person tell still seats,no sentiment
2,google showing preview nextgen blogger interface link,positive
2,rt calvin geek charlie sheen goddesses,positive
3,great intro video surui carbon project google earth engine link,no sentiment
3,preparing talk doodles fun friday pm link,no sentiment
2,woke sandwiched iphone ipad forgot much like geek spring break,positive
3,laughed ipad spent week hauling macbook everywhere really want ipad shoulder rub,no sentiment
2,think ive seen maybe nonapple notebooks entire time mostly macbook pros macbooks many many ipad2s,positive
3,surprise apple opened popup store austin nerds town get new ipads link,no sentiment
2,tuh rt new app store includes uberguide sponsored link,positive
2,apple sets squarefoot temporary store sell new ipads test potential link,positive
2,could google buy thats one way could work together says apis another,positive
3,rockin couldnt cooler link,no sentiment
3,wondering ppl friday queue convention centre apple store xd im still figuring wot ill,no sentiment
3,course bing results good googles,no sentiment
3,really cool shit working web fonts look hawt,no sentiment
2,dont miss charles chen androidchromeos access sxsw google booth exhibit hall pm,positive
3,apple store peeps come running highfiving line open sec enuf us chumps link,no sentiment
2,spent aftrnoon frozen lake photographing brother scott amp team catch ths weeknd link,positive
2,well hear someone gonna setup pop apple store oh waitthat wasnt fruit,positive
2,pengen jdnya rt new app store includes uberguide sponsored cont link,positive
3,yup rt quotapple comes cool technology ones ever heard dont go conferencesquot,no sentiment
1,iphone battery made,negative
3,said even better iphone wverizon revenge yrs ridicule rt glad customer,no sentiment
2,linkedin nelson medina hootsuite news hootsuite mobile updates iphone blackberry amp android h link,positive
2,google circle austin link,positive
2,surprise line google amp bing qampa wrapped austin hilton would ask,positive
2,quotyour mom ipadquot session,positive
2,still feeling pukey jet blue terminal smelling like farts managed buy apple slices 5,positive
2,google taking mic,positive
2,says playing nfc next gen devices nexus iphone next,positive
2,ha another mention apple store link rt temporary store th congress along w,positive
2,cmon already launch major new social network called circles possibly today link via,positive
2,maybe trying calculate much money mahalo losing google farmer update,positive
1,lbs apps iphone think orlando guess check disney vs,negative
3,heard got first ipad 5hrs link,no sentiment
2,get nav schemes done ipad shape lesson,positive
2,checking poked liked amp retweeted google love story sxsw,positive
2,yeah ill sure gtrt check link,positive
2,line wrapping around block ipad second day link,positive
3,wonder googles demoed become part google analytics,no sentiment
3,wow apple pop store downtown projecting 4 million profits weekend alone may stay past weekend,no sentiment
3,dl app today avail itunes app store amp android market look us,no sentiment
2,win free ipad webdoccom rt,positive
3,wow thats dedication rt well im first line hours go,no sentiment
3,great interview bloomberg tv kick link,no sentiment
2,excellent presentation digital magazines link,positive
2,get ipad 350 theyll 99 know look iphone,positive
2,google launch major new social network called circles possibly today link,positive
3,hey peeps new iphone app launched us link check let us know think,no sentiment
1,client android gotten really buggy lately blame,negative
1,hmm stream isnt ipadmobile compatible maybe next year,negative
2,im concerned migrating mobile apps,positive
2,see vanessa mophie booth ipadiphone backup battery life saver,positive
2,listening discuss new interaction paradigms designing ipad,positive
2,thank awesome party link,positive
3,congratulations sent seesmic android phone,no sentiment
1,apple cited opposite crowdsourcing proprietary steve jobs tells want,negative
3,dont forget plan schedule plus free iphone app link,no sentiment
2,apple set open popup shop core sxsw action link,positive
2,new kicks clif bars amp g ipad link,positive
2,got one rt waiting line apple store check might find new item link,positive
2,rt interrupt regularly scheduled geek programming big news link,positive
3,huge shout gsdm amp google kick ass party tonight unbelievable time,no sentiment
2,everyone using keep track plan regular google calendar need guidance,positive
2,hahart woke pile ipad amp empty loko cans think might yobongoed someone last night,positive
2,oh sure dont arrive till tomorrow rt google set launch new social network today,positive
2,video shows guy hacking times sq billboards w iphone real link,positive
2,amp fun pic link,positive
2,preparing launch circles maybe link via,positive
2,flight sf austin filled google tshirts youtube fleeces,positive
3,delivery pop store quite possible link,no sentiment
2,im q apple pop store link,positive
2,tired waiting line stores best buy austin announces ipad2 sale today,positive
2,hello enjoy ride anywhere austin 10 download app link booth,positive
1,apparently google quotad preferencesquot youll see google thinks youll like,negative
2,competing circles socialflow board resonant topic link,positive
2,landed austin spotted google places ads airport quotthe ultimate austin pocket guidequot like,positive
3,yay love ipad perfectly portable travel weve thanks popup store,no sentiment
2,google launch new social network circles possibly today link,positive
2,heads sets temporary store austin apple going sxsw year link,positive
2,unboxing outside store link,positive
2,fyi rt ill austin convention center today w fam showing new iphone game,positive
2,lonely planet iphone app guide austin free week,positive
3,iphone cases rad ready stop tomorrow get link,no sentiment
2,lol classic rt googlebing qampa panel like worlds expensive seo consultation,positive
2,find info get free android phone,positive
2,crazy temporary store post coming pics,positive
2,google launch major new social network called circles possibly today link via,positive
2,fresh brew google circles launched link,positive
2,go available platforms iphone ipad android windows phone blackberry download link,positive
2,austin police hard work guarding apple store link,positive
2,wondering many come back ipad maybe everyone,positive
2,fromubersocial iphone app store includes uberguide sponsored mashable link,positive
3,congrats iphone app featured,no sentiment
2,ipad gets temporary apple store sxsw link,positive
2,schedule far link,positive
3,bought juice pack iphone solely cool kids,no sentiment
3,syked see googles talk stuff,no sentiment
3,renew features google mapsexability see inside amazing museums able zoom brushstroke,no sentiment
3,knackered home playing ipad updating iphone timeline smashed partytweets cant make go bed,no sentiment
2,mashable platform concertgoers launches android app time sxsw link link,positive
2,apple set open popup shop core sxsw action link,positive
3,gift certificate apple nonprofit meetup hooray nonprofits apple,no sentiment
2,ive seen lot tablets every single one ipad,positive
2,quotthe explanation continued success apple existence godquot,positive
2,countdown begun pick quotfried speakersquot itunes link,positive
2,google offers tested latitude mayer says test,positive
2,sxsw go blackberry windows phone sxsw go available iphone ipad android blackberr link,positive
3,oh lordy go rt time store open pulling trigger,no sentiment
2,google launch major new social network called circles possibly today link,positive
3,favorite thanks coming getting iphone,no sentiment
3,excited see rt google launch major new social network called circles possibly today link,no sentiment
3,wish wish ipad said,no sentiment
3,get apple link,no sentiment
3,beach parties apple apps analytics style time start packingquot,no sentiment
2,learning ab google doodles doodles light funny amp innovative exceptions significant occasions,positive
2,google circles preview link,positive
2,also austin weekend feel free ping want talk ipad,positive
2,game play swsx spot non apple electronics,positive
3,quotgoogle circlesquot social network idea sound like plan link,no sentiment
3,beta testing interactive book ipad app moonbot studios louisiana cool app,no sentiment
2,anyone know apple popup store,positive
2,dennis crowley competitors think starting compete bigger guys facebook google,positive
2,sweet tea vodka glowstick cup doesnt scream quotgooglequot baller,positive
3,ahh wonderful news rt ipad available online ordering go get urs,no sentiment
3,google advertising checkinthing link,no sentiment
2,google take google circles may announced today third try link,positive
2,come singapore roars party th street link,positive
2,c5 precautions link codes valid 0075959p 1111,positive
3,well forget right gonna focus getting shinmy new ipad min apple makes happy nfl,no sentiment
2,gg new try social rt interrupt regularly scheduled geek programming big news link via,positive
2,ballroom google vp consumer products interesting,positive
3,smart apple opening popup austin link hope stock extra battery chargers thx,no sentiment
2,ipad yet usa,positive
3,google building real time engine monitor illegal deforestation real time,no sentiment
1,part journalsim support democracy yes informed populous yes ipad focus support,negative
3,need workspace book link,no sentiment
2,tip iphone users turn screen brightness way conserve battery power huge difference,positive
2,interrupt regularly scheduled geek programming big news link,positive
0,yes google presentation exactly expecting,cannot say
2,nfc chips one big technology enablers nexus already iphone probably,positive
3,check mom ipad designing boomers sxswlink,no sentiment
2,rt said wont able get ipad apple opening popup store austin link,positive
2,rt rumor apple opening temporary store downtown austin link,positive
2,google setting bunch computers trade show exhibit premiere google circles link,positive
2,google launch social network google circles point sxsw today link,positive
3,great session ipad design good ui insights,no sentiment
2,apple popup store still constuction thats keeping line people standing line,positive
2,startups giving away free hosting fill chance win link,positive
0,apple setting temporary store sell crazy brilliant convenient link,cannot say
2,messed didnt bring iphone charger anyone got one could borrow mins,positive
3,thewildernessdowntowncom best show sxsw googles thomas gayno quotit like choreography browser windowsquot,no sentiment
1,ipad app getting panned design trumping content rightfully,negative
3,check game iphone android seems pretty cool,no sentiment
0,kawasaki key enchantment trustworthiness zappos likeability richard branson product apple,cannot say
2,apple security guy locks store realtime sxsw link curated,positive
2,anyone know pop apple store left,positive
2,analytics google analytics standard use,positive
3,dont know would original content anything todays worldand ipad better barry diller,no sentiment
2,youre room full people wgood wifi run android link share pics apps vids wothers,positive
2,gsdampm google 10 rt whats best party hit tonight,positive
2,bucks apple banana price super extra double cheese grilled triple pork sandwich country doomed,positive
0,entrapment layer upon layer rt google circles quot,cannot say
1,line around corner say wait ive already got two cameras sorry,negative
3,million miles per day driving google maps navigation,no sentiment
2,app known battery killer,positive
2,hearing google may launch social network event tonight,positive
2,wanna know get lunch without waiting min ask around saved lots time link,positive
3,omg still line new ipad n dieing hunger else line,no sentiment
2,celebrate beauty web msft launch amp play new game win ipad2 link,positive
3,love macbook ipad iphone year one runs juice jump next,no sentiment
3,stuff great love seeing guys think outside box google doodles,no sentiment
2,think im going get second iphone view push notifications,positive
2,apple opening temp store austin link via,positive
2,superfriendly w google isnt closed acquisition amp partnership answering pointed,positive
1,nexus tmobile x useful iphone4 atampt many ppl iphone,negative
2,really phone cant log w,positive
2,biggest issue selling ability sell direct amp hv relationship customer,positive
3,mayer comes sans intro still gets cheers launches googles priority location fast fun amp future,no sentiment
3,watching dj rock check wwwranaco,no sentiment
2,im livetweeting rt users drive b miles year google maps navigation jr,positive
3,ipad gets temporary link,no sentiment
2,apple pops store event like sxsw u think atampt could least put extra friggen tower,positive
2,i38 play madness link codes valid 0075959p 1411,positive
2,actually giving away app licences away check us,positive
2,matt cutts google amp duane forrester bing cant stop talking original quality content,positive
3,learning get personalized recommendations using google hotpot link,no sentiment
2,google circles launched interactive today link,positive
3,1 rt love quotapple comes cool technology ones ever heard dont go conferencesquot,no sentiment
2,attended mobile accessibility panel would interested learned esp access blind android etc,positive
3,come celebrate w charity water tonight google throwin party jump start week right,no sentiment
2,googles new social network quotcirclesquot announced today,positive
3,whats going today share photos video ireport link cnn iphone app,no sentiment
2,anyone wanna bring back windows foam link,positive
3,exclusive apple ipad review still better rest link,no sentiment
3,id pay ipad person gets zaarly referrals march th link,no sentiment
3,youre gonna want iphone apps youre heading today hot ones download away link,no sentiment
3,rockin ipad downtown apple store,no sentiment
2,thanks bryan rt official app sxsw go link,positive
3,amp want drink free get ask around iphone app find amp join us drinks,no sentiment
2,head link pm cst today win vip access acoustic solo set tonight alguien ahi,positive
2,apple popup store link,positive
2,nope launching social network link,positive
3,held new ipad envy baby still working well,no sentiment
1,annoyed schedule app bad ipad fingers aint fat yall,negative
2,google searches local information marissa mayer million places claimed owners logged,positive
2,wks apple store th austin street opened,positive
3,said wont able get ipad apple opening popup store austin sxsw link,no sentiment
2,dumb blonde link evelyn juwan howard ipad,positive
2,working towards android wont ready thanks interest,positive
3,fear extended wed gt rt rt last day apple popup sunday 13,no sentiment
2,party rule dont slip piss drop iphone urinal true story either promise,positive
2,oh quadroid new wintel qualcomm android,positive
3,nd congress bookbook ipad cases get fast,no sentiment
1,forward delicious tmobile g austin iphone users struggle anything,negative
2,breaking apple announces partnership wporn industry new video chat app called quotfacetimequot,positive
2,quotwe want undivided attention please take mobile phones ipad squot,positive
2,im ready sure interoperability problem iphone amp android solved,positive
3,good point rt love quotapple comes cool technology dont go conferencesquot,no sentiment
1,attending ipad design headaches link,negative
3,excited meet show sprint galaxy still running android,no sentiment
2,quotgoogle tweet new think speakquot belinsky digital democracy via,positive
1,better link,negative
2,plucked end taxi line stranger lift airport rental car,positive
2,team android choice awards finalists announced link,positive
3,mine toooo rt envy roof thanks every person,no sentiment
2,apple open temporary store th congress link,positive
1,protip avoid austinarea apple stores friday,negative
2,awesome rt knitted staircase attendance party tomo pm hosted amp link,positive
2,trying get retro party maggie maes line huge hope worth wait,positive
2,google launch major new social network called circles possibly today link rt,positive
1,think would app blackberry gave iphone finger guess ill carry around ipad lame,negative
1,data new oil companies like google facebook monopoly terms service wary,negative
2,marissa mayer announces check ins interview john battelle link,positive
3,two guys google doodle team talk fun making homepage pretty link,no sentiment
3,cool opening temporary store launch link,no sentiment
3,cool apple open temporary store sxsw link peer pressure make buy ipad2,no sentiment
2,gearing make splash launch quotgroupon living socialtypequot rewards link,positive
2,hey rudy belgiums dutch taking launched wwwskylinesnet link today,positive
2,hi accidentally took ipad set would please return,positive
2,marissa mayer google says google maps usage local google maps users day,positive
2,check lightboxcom team android choice awards finalists announced team rock,positive
1,google launch major new social network called circles updated link launched soon care,negative
3,agree apple stole little part show exciting new biz concept,no sentiment
3,brilliant winwin link,no sentiment
2,rec give bad apple job mtg taking notes make mtg voluntary gt willing participants,positive
2,google launching new social network called circles today link,positive
2,post nothing x startup founder amp ceo gone dark side link,positive
3,exciting day day tim ferriss rumors launch google circles later,no sentiment
2,confirmed google circles launched later today,positive
0,google circles looking forward sadly launch,cannot say
0,airport playing fav game quotare going quot wearing denim denim youre going charging apple products,cannot say
2,adobe developed engine essentially convert swf files jqueryhtml5 existing flash files portable ipad,positive
3,one fav photos far amp link,no sentiment
2,used small upstarts twitter played sxsw big guys making moves apple google,positive
2,id pay ipad person gets zaarly referrals march th link,positive
2,apple open temporary store interesting link,positive
2,download official featured artists playlist via itunes songs absolutley link,positive
3,quotapple comes cool technology ones ever heard dont go conferencesquot via,no sentiment
2,q1 prep amazing pre push locally focus location based google owns regions billboards,positive
3,thirsty gadget using charge anywhere iphone happy share juice,no sentiment
1,ungrateful bc much shit play turn shit iphone,negative
2,chris messina google thinks scope search key webidentity management,positive
3,making impossible succumb upgrading year old amp feel like im walking around w bag phone,no sentiment
3,unboxing outside store link,no sentiment
2,link google going social,positive
3,launched ipad app get details first edition free link,no sentiment
2,rumor apple opening temporary store downtown austin ipad launch link via,positive
2,would look like created today w ceopres floor64 inc amp william patry sr copyright counsel google,positive
1,clearly apple another daylight savings time bug iphone alarm also need remember fix rooms clocks whoops,negative
2,free premium service st job post answer min survey link,positive
2,rt yes rumors true come play ipad booth exhibit hall giant quotquot,positive
1,problem google living stories process creating content didnt change interface,negative
3,million miles day driven google maps navigation assistedquot marissa mayer gps biz toast,no sentiment
3,mindjet going celebrate giving away ipad find enter link,no sentiment
3,hard time tweeting using iphone using ipad much better,no sentiment
3,livetapp raffling ipad checkin tweet sxsw show youll entered win,no sentiment
2,lt10 minute line ipad temporary apple store,positive
2,google circles link ht maybe theyre reconsidering shape,positive
3,booth ready tradeshow tmr android party,no sentiment
0,rt austin street closures sxsw google map form link,cannot say
2,list music performers link used jquery screenscrape,positive
3,added flights matching people planesairports also downloaded iphone app nicely done,no sentiment
2,anyone know time ipadapple store opens th congress,positive
2,hipster hobo way tell iphone,positive
3,check googletv ipad apps connected tv experience sxswlink,no sentiment
2,new ipad apps communication showcased conference link,positive
2,groupon darling child google facebook loopt scvngr want piece link imitation still flattery,positive
3,great museum naive presentation google art project funny cool,no sentiment
3,yawn rt apple set open popup shop interactive conference link,no sentiment
3,team android sxsw full party details revealed link,no sentiment
3,excited see hls dynamic video ad insertion tv everywhere working later today popup apple store,no sentiment
2,anyone know time apple popup store austin closes tonite apple someone said midnight,positive
2,ipad sale cc link,positive
2,microsoft lounge th floor first iphone android developers stop 45 get free entry windows phone mp 99,positive
3,excellent presentation quotthe untapped ipad market site pourquot,no sentiment
2,new ipad apps speech therapy communication showcased conference link,positive
2,really feel bad apple employees austin friday,positive
3,quotgoogle maps route around traffic saving user years every dayquot marissa mayer,no sentiment
2,apple line ipad staff cleared us good go g gb white g atampt black stock,positive
2,great time played white stripes amp secondcrush detroit showcase lucys link,positive
3,check video get glimpse action like ipad link could resist,no sentiment
3,google dev panel indicates android screen reader works widgets native ui web views browser,no sentiment
2,touching stories designing digital magazines ipad sxswlink,positive
2,ha thats one way track contacts rt w john android link,positive
2,photo made austin made made party hosted google aclu link,positive
2,stumbling around lost stay contact group application link,positive
3,apples customer service top notch theyve even got guys hanging line giving inventory updates nice,no sentiment
2,confirmed apple store week popup austin picture link via gave us credit,positive
2,surprise apple opened popup store austin nerds town get new ipads httplink,positive
2,sam unlocked tightasstraveler achievement using google maps transit instructions,positive
2,rt interesting google stats google maps users 150 cont link,positive
3,got flask amp ipad yes im sitting th st waiting aicn screening iloveasurprise link,no sentiment
3,wow saw someone using computing device mac ipad rare sighting indeed,no sentiment
2,questions whats inside ipad fire way,positive
2,ipad giveaway closes today need sign link entered automatically pls rt,positive
1,google launch major new social network called circles possibly today ogoody overload,negative
2,rt google launching check service providing deals,positive
3,even begins apple wins link,no sentiment
2,really excited see documentary something ventured today rise intel apple genentech cisco amp atari,positive
2,google developer hackathon discussion web fonts gets font request day,positive
3,oh rt confirmed new ipad coming september link,no sentiment
2,interviewing show portfolio amp examples work ipad amp walk pieces borrow must,positive
2,google hot pot whattt pot,positive
3,tools cheap google analyticsexcelbuzzmetrics also radian6 altimeter,no sentiment
2,sxsw getting apple store geeks criedyes ipad coming coming frid link,positive
3,welcome ipad owners new used ipad owners theres room everyone party,no sentiment
2,today amp iphone game amp celebbrand destination,positive
2,whos going apple popup shop congress avenue friday,positive
3,ipad available im austin major,no sentiment
2,going austin austin guide free mar 15 link,positive
1,barry dillers pragmatic straight forward nice looks like wants us grab pitchforks vs apple,negative
2,best thing ive heard weekend quoti gave ipad money relief cont link,positive
3,line longer 11 temp apple store ipad2 14 microsoft booth ie9 yeah right,no sentiment
0,need give iphone amp liver rest,cannot say
2,quotre post ipad death flashquot link,positive
2,locals must shop tooprove mkt rt apple open temporary store th congress link,positive
2,getting ready listening party podcasts link,positive
2,bad lady xd link ipad rebecca black jurassic park,positive
2,connect digital amp physical worlds mobile link,positive
3,apple opening temp retail store austin sell ipads attendees tempted,no sentiment
3,golden tickets f sq party day real party felix da housecat playing ipad link,no sentiment
3,dont miss presentation pm filmaster mobile iphone officially launched,no sentiment
2,way android party hewlitt packard badass thing goiing free food booze music love,positive
2,marissa mayer google connect digital amp physical worlds mobile link link,positive
3,ipad acquired line 30a store opened ipads within min bad way go apple team,no sentiment
2,ppl authoritzed scrape republish pages r google bing bing google,positive
2,tessie frontwoman intimate stranger ink painful places get ink respect location link,positive
3,rt synced full apple joy,no sentiment
2,bahrain govt turned google earth result people learned govt turn back,positive
2,theres yet another line austin apple store ipad going well around block,positive
2,line rob,positive
3,last year everbody talking ipad year social media driven revolutions year better,no sentiment
2,html5 applemicrosoft likely javascript integration browsers compete collaborate system amoral,positive
2,tools collaboration across boundaries google webex dropbox whiteboarding basecamp joinme ipad,positive
3,lounge free daily free coffee recharge refresh austin details link,no sentiment
2,hmmmhow fast build new store time link,positive
2,special promo attendees link meetchu quickcontact capture lykwxhpyterh tt66h9tjn4ye rt6n79xp37ff typ63mmam7w3,positive
2,g connectivity iphone smart phones joe berry,positive
3,rt come party w google tonight link bands food art ice cream nifty interactive maps,no sentiment
3,haz ifrom gr8 link,no sentiment
3,apple saves sxsw set open popup store link,no sentiment
2,tonight checking kills checking gsdampmgoogle party come say hi,positive
2,tysons new game iphone one cant good original mike tysons punchout link,positive
2,send early app access ios android glad qa team help,positive
2,link,positive
3,million mobile users google maps google maps usage mobile devices,no sentiment
2,dudes dudes check tweet anything w ipad amp naked lady response bots tell simply gaimed one free,positive
2,sxsw recap day greaaat exploring brand mascots digital age link,positive
1,diabetes plate thanks google already covered link,negative
0,always wanted rt sound voice shot exploiting apple amp best buys day return policy imacs brilliant,cannot say
2,new iphone app page whats missing see breakouts link,positive
3,imagine every company concept like google,no sentiment
2,google analytics visits ipad iphone ranked top ways people access,positive
3,html5 tshirt google saying easeljs favorite canvas library,no sentiment
2,youre right wow rt wiebe walking conceptual graphing link youd loving,positive
2,notetaking bingo pull ipad moleskin,positive
2,release android app cluster gt link,positive
2,brilliant idea search engine ranking session small room people locked,positive
2,google launch social network today update status share videos amp photos circle friends link,positive
2,tomorrows panel features folks opera chrome ie mozilla amp w3c apple downstairs selling ipads,positive
3,ipad rt decision lug laptop feel like im missing right arm left arm since im southpaw,no sentiment
3,ideally quotgoogle logos bring people together sociallyquot creative lead google doodle team,no sentiment
2,post nothing link,positive
3,iphone cases rad ready stop tomorrow get link,no sentiment
2,google launch major new social network called circles possibly today link via,positive
3,google doodles always strive respect complement original artwork,no sentiment
2,prefer news iphone ipad droid apps amp mobile apps,positive
2,tomorrow charles chen speaking android chromeos access google booth exhibit hall pm,positive
3,oh god rt rumor apple opening temp store austin ampipad launch link,no sentiment
2,youre looking space set meetings dont stop arthaus check link,positive
3,new social network google news abuzz launch,no sentiment
3,ppl spoken quotgreat session w bing google danny sullivan bring back next year larger roomquot,no sentiment
2,google launch social network google circles point sxsw today link,positive
3,forgot iphone android knife gun fight,no sentiment
3,rt heard apples popup store downtown austin pics already gowalla link poppop,no sentiment
2,scoping venue valhalla lounge great whiskey amp beer plus demolition man pinball link,positive
3,available genius lookalike music listening,no sentiment
3,google maps great job,no sentiment
2,orly google set launch new social network today,positive
3,mustresistmactemptation rt apple opening temp store downtown austin ipad anyone,no sentiment
3,ipad download broadfeed app better content delivery link,no sentiment
2,google tests checkin offers link,positive
2,giving away ipad kick time visit fb page info link,positive
2,find playing app android got u link,positive
3,exclusive shot popup apple store link,no sentiment
1,meant also wish stupid iphone,negative
3,theem google party spazmatic killn stage hoooooooooooooo,no sentiment
2,speaking mapping give away ipad best show entering ez see details link,positive
2,man panhandling ipad whats world coming lteriouslygt link,positive
2,web devs dont wait line ipad signup new relic using promo sxsw2011 eligible win one link,positive
3,even begins apple wins sxsw link,no sentiment
2,launched ipad app get details first edition free link,positive
1,pretty excited iphone stop working ampt,negative
2,going checkin friends youre austin locationbased apps link,positive
2,apple fans looks like rd apple store opening austin full u go2 san antonio,positive
2,apple opening temporary store downtown austin ipad launch link cc,positive
2,google hotpot activity map week austin tx link,positive
3,realized havnt used laptop since thursday pure sprinkle top,no sentiment
2,apple popup store set right th st fellow truck driver delivering furniture,positive
3,saw ipad close first time shiny,no sentiment
2,z27 law link codes valid 0075959p 1311,positive
2,design ipad like design class someone give talk assume didnt ditch previous experience,positive
2,quotmy kids grow thinking new york times google separate industriesquot,positive
2,marc ecko launches app autodial political change link,positive
2,party free beers tacos ritas thurslink,positive
2,new ipad apps speech therapy communication showcased link,positive
3,rt wow apple right thing japan must read link,no sentiment
3,ipad giveaway fantastic going squeeze,no sentiment
3,yes rumors true come play ipad booth exhibit hall giant quotquot,no sentiment
2,link rt check holler gram ipad app link,positive
1,agreed novelty news fades fast among digital delegates link via,negative
2,listening developer netflix app iphone talk mistakes made ap interesting stuff,positive
2,cant believe built store days link,positive
3,million mobile google maps users,no sentiment
3,congrats iphone app featured,no sentiment
2,link longest line apple store course link,positive
3,apple great turning new old,no sentiment
3,great festival featured app store works google maps plan schedule,no sentiment
2,google circles major premier today,positive
1,google interested location based tech indoor venues businesses convention centers etc tech needs improve first,negative
3,ipad thanks,no sentiment
3,ipad goes sale next fridaythe austin apple store going busy,no sentiment
2,gd dammit last year stole year,positive
2,miles go roughly tanks gas hours per google,positive
2,google launch major new social network called circles link,positive
2,industry party gsdampm w others link,positive
2,austin link,positive
1,oh another way talk shit net google launch major new social network called circles possibly today link,negative
3,nice vid ipad hope behind camera link,no sentiment
3,food4thoughtjuxtaposed ipad rocking lybian rebels thwarted gorgeous day la amp japan reeling,no sentiment
3,great talk designing good ipad apps may actually pick book,no sentiment
2,google session waiting marissa mayer,positive
2,dont miss ipad app design talk morning 30,positive
2,love entertain youplease dont grateful link,positive
2,typing days ipad fingers feel seriously weird real keyboard,positive
2,best pickupline iphone charger,positive
2,google launching secret new social network called quotcirclesquot,positive
2,one minute ago guy spoke outside apples popup austin store would got hands ipad waited since,positive
3,dang ive touched ipad want sigh,no sentiment
1,false alarm google circles coming nowand probably ever link,negative
3,bought downtown austin apple store min wait line get salesperson darryl excellent,no sentiment
2,ugh think ive effectively broken parties google calendar much going,positive
2,able attend buy ipad today consider saving earthquake relief,positive
2,bought mophie juice pack air rechargeable battery case iphone would come handy week,positive
2,geeks amp gadgets todays superstars people lined hrs sxswpopup shop buy ipad amp girls begging hug crowley,positive
3,room full ipad design headaches talk,no sentiment
3,ipad apps like software development release start working update,no sentiment
3,nyt app ipad quotheres amazing way serve readershipquot quotheres market opportunity cant ignorequot,no sentiment
3,think people stroke year website needs ipad ready,no sentiment
2,u quotgoogle launch major new social network called circles possibly todayquot link,positive
3,cant wait anymore quotgoogle launch major new social network called circlesquot via link,no sentiment
2,attending want explore check austin link via,positive
2,per rumor google may preview big social strategy 80sthemed costume party yep http link,positive
3,last year single ipad public today theyre common laptops havent seen android tablets,no sentiment
2,folks anybody going ipadandroid panel 30,positive
2,marissa mayer connect digital amp physical worlds mobile link,positive
2,even bother buying months worth g ipad trip everywhere ill probably free wifi,positive
3,dear apple could roll hot dog cart full ipad austin convention center bring hot dogs,no sentiment
2,post googlebing qa website ranking link,positive
2,rt apple opening popup store downtown austin ipad launch link,positive
2,live sxsw mobile accessibility session room surprise guest charles chen answering questions android access,positive
3,impromptu apple store line blocks long link,no sentiment
2,heads sets temporary store austin link,positive
2,mom ipad designing boomers sxswlink,positive
2,doh share pic update ipad since im youll mail shirt,positive
2,googles mobile future elusive power herequot interactive,positive
3,google launch major new social network called circles possibly today link,no sentiment
2,new app store includes uberguide sponsored link,positive
2,post sxswi day link surprised run two bpm folks popup apple store,positive
3,long line apple pop store ipad great marketing apple,no sentiment
3,day store theres still lineand growing link,no sentiment
2,barry diller ipadonly newspaper app quotipad supersededquot,positive
2,strange mixed tweets spammers regular life together wpacific rim rocking near nuclear disaster compute,positive
2,learnt google searches jesus star wars much,positive
2,kid ducked exposing chan4eva tattoo small back ipad flew right,positive
3,got copy today excited thx keeping world enchanted glad youre,no sentiment
3,apple open popup store wannabehipsters feel home near fav store link,no sentiment
3,like rt quotgoogle tweetquot new quotthink speakquot mark belinsky panel,no sentiment
2,rt location location location link via,positive
2,z40 eye storm link codes valid 00115959p 1411,positive
3,name built gettinng stuff trying users see works,no sentiment
2,rough calculation beard ipad ratio sxsw 1,positive
2,omarg rumor apple opening temporary store downtown austin ipad launch link,positive
3,would love ipad2 rt get food dont forget snap photo win macbook air ipad,no sentiment
2,crisiscommons monitoring collection datasets call volunteers issued link,positive
3,link via pretty neat database must say work shall see,no sentiment
2,alarms go allow users generate content says googles richard salgado,positive
3,free itunes album featured artists grab missed link,no sentiment
2,google maths day wave buzz circles,positive
2,want use video talk today need able download ipad know link,positive
2,many folks asked iphone battery case heres link link,positive
2,google dev event surrounded people much smarter rock,positive
3,free portable iphone charger im use heck link,no sentiment
2,fires shot checkin rewards titles starting austin link,positive
2,released today spin play spin magazines ipad app download 1st issue free link,positive
2,come check ipad app demos mon link,positive
2,schools experts sxsw cnet blogs link,positive
0,win ipad panel link today cc,cannot say
2,getting one rt line ipad apple store demo units pm link,positive
1,first ipad didnt even exist last year already feel like im pulling antique everytime use ipad,negative
3,hey new ipad app dexteria available link like us facebook link,no sentiment
