questions,answers
mereka menyukai pria dengan mobil baru,saya tidak punya uang atau mobil baru.
saya tidak punya uang atau mobil baru,aku juga tidak.
aku juga tidak,tapi cewek suka cowok yang lucu.
tapi cewek suka cowok yang lucu,mungkin kita harus belajar lelucon yang bagus.
kemana kamu pergi,saya harus mengajak anjing jalan-jalan.
saya harus mengajak anjing jalan-jalan,jenis anjing apa yang kamu punya?
jenis anjing apa yang kamu punya,saya punya pudel kecil.
saya punya pudel kecil,pudel banyak menggonggong.
pudel banyak menggonggong,mereka yakin melakukannya.
mereka yakin melakukannya,mereka menggonggong dalam segala hal.
mereka menggonggong dalam segala hal,mereka tidak pernah tutup mulut.
mereka tidak pernah tutup mulut,mengapa kamu mendapatkan pudel?
mengapa anda mendapatkan pudel,itu anjing ibuku.
ini anjing ibuku,jadi dia suka pudel.
jadi dia suka pudel,dia bilang mereka anjing penjaga yang baik.
bisakah saya meminjam 5,tentu. kenapa kamu membutuhkannya
yakin mengapa anda membutuhkannya,saya ingin membeli makan siang
saya ingin membeli makan siang,dimana uangmu
dimana uangmu,itu tidak ada di dompet saya.
itu tidak ada di dompet saya,dompetmu kosong?
dompet anda kosong,saya bahkan tidak punya satu dolar pun di dalamnya.
saya bahkan tidak punya satu dolar pun di dalamnya,bangkrut tidak menyenangkan.
bangkrut tidak menyenangkan,meski hanya sebentar.
bahkan jika itu hanya sebentar,selalu menyenangkan memiliki teman.
selalu menyenangkan memiliki teman,teman akan meminjamkan uang saat anda bangkrut.
teman akan meminjamkan uang saat anda bangkrut,selama anda membayarnya kembali.
mari kita pergi ke pantai,itu ide yang bagus.
itu ide yang bagus,kami sudah lama tidak berkunjung.
kami belum lama ini,kita belum sebulan.
kami belum sebulan,"terakhir kali kami pergi, kamu hampir tenggelam."
"terakhir kali kami pergi, kamu hampir tenggelam","tidak, saya tidak."
"tidak, saya tidak",lalu mengapa penjaga pantai menyelam ke dalam air?
lalu mengapa penjaga pantai menyelam ke dalam air,saya pikir dia ingin menenangkan diri.
saya pikir dia ingin menenangkan diri,dia berenang ke arahmu.
dia berenang ke arahmu,dan kemudian dia berbalik.
dan kemudian dia berbalik,mungkin kau benar.
mungkin kau benar,mungkin kita harus pergi.
apakah kamu telah menikah,tidak. saya bercerai.
tidak saya bercerai,kapan kamu bercerai?
kapan kamu bercerai,saya bercerai dua tahun lalu.
saya bercerai dua tahun lalu,kenapa kamu bercerai?
mengapa kamu bercerai,istri saya meninggalkan saya.
istri saya meninggalkan saya,kenapa dia meninggalkanmu?
kenapa dia meninggalkanmu,dia bilang dia tidak mencintaiku lagi.
dia bilang dia tidak mencintaiku lagi,wow! itu buruk.
wow itu buruk,ya itu.
ya itu,kenapa dia tidak mencintaimu lagi?
kenapa dia tidak mencintaimu lagi,dia jatuh cinta dengan sahabatku.
saya bosan,ada apa di tv?
ada apa di tv,tidak ada.
tidak ada,pasti ada sesuatu di tv!
pasti ada sesuatu di tv,tidak ada yang menarik.
tidak ada yang menarik,bagaimana dengan acara permainan baru itu?
bagaimana dengan acara permainan baru itu,yang mana?
yang mana,setuju atau tidak setuju
setuju atau tidak setuju,ceritakan kamu bercanda.
ceritakan kamu bercanda,saya suka pertunjukan itu.
saya suka pertunjukan itu,saya menontonnya sekali. itu sudah cukup.
saya menontonnya sekali itu sudah cukup,itu sekarang. mari kita tonton bersama.
saya suka tinggal di sini,saya setuju. pasadena adalah kota yang menyenangkan.
saya setuju pasadena adalah kota yang menyenangkan,itu tidak terlalu besar.
itu tidak terlalu besar,dan itu tidak terlalu kecil.
dan itu tidak terlalu kecil,cuaca bagus sepanjang tahun.
cuaca bagus sepanjang tahun,itu memiliki parade mawar.
itu memiliki parade mawar,itu memiliki rumah yang indah.
itu memiliki rumah yang indah,itu memiliki restoran yang indah.
itu memiliki restoran yang indah,itu memiliki sekolah yang bagus.
itu memiliki sekolah yang bagus,itu dekat dengan pegunungan.
dekat dengan pegunungan,orang-orangnya ramah.
orang-orangnya ramah,aku tidak akan pernah pergi.
kami membutuhkan kasur baru,ada apa dengan yang satu ini?
ada apa dengan yang satu ini,itu tidak nyaman.
itu tidak nyaman,sepertinya baik-baik saja bagiku.
sepertinya baik-baik saja bagiku,saya berguling-guling sepanjang malam.
saya berguling-guling sepanjang malam,kamu harus berhenti minum kopi.
kamu harus berhenti minum kopi,lihat tanda-tanda ini di lenganku.
lihat tanda-tanda ini di lenganku,apakah mereka?
apakah mereka,itu adalah gigitan.
itu adalah gigitan,apakah kucing itu menggigitmu?
apakah kucing itu menggigitmu,tidak. kutu busuk di kasur itu menggigitku.
tidak ada kutu busuk di kasur itu yang menggigit saya,baik. ayo beli kasur baru.
laptop saya sangat lambat,beli yang baru.
beli yang baru,saya akan jika saya punya uang.
saya akan jika saya punya uang,kenapa sangat lambat?
mengapa,itu pertanyaan yang bagus.
