clean_questions,clean_answer,questions,answers
berharap pergi kamar mandi,baiklah menepi,saya berharap begitu. saya harus pergi ke kamar mandi.,"baiklah, saya selalu bisa menepi."
baiklah menepi,terima kasih menunggu,"baiklah, saya selalu bisa menepi.","tidak, terima kasih, saya hanya akan menunggu."
terima kasih menunggu,membunuh burung batu,"tidak, terima kasih, saya hanya akan menunggu.",kita bisa membunuh dua burung dengan satu batu.
membunuh burung batu,maksudmu,kita bisa membunuh dua burung dengan satu batu.,apa maksudmu?
maksudmu,kamar mandi memesan makanan,apa maksudmu?,"saat Anda menggunakan kamar mandi, saya akan memesan makanan."
kamar mandi memesan makanan,memesan lapar,"saat Anda menggunakan kamar mandi, saya akan memesan makanan.",jangan memesan untuk saya. saya tidak lapar.
memesan lapar,lapar memesankan untukmu memakan milikmu,jangan memesan untuk saya. saya tidak lapar.,"saya sangat lapar. Aku akan memesankan untukmu, dan kemudian aku akan memakan milikmu."
cahaya,lihat mobil mengantri,ini adalah cahaya yang panjang.,lihat berapa banyak mobil yang mengantri.
lihat mobil mengantri,membutuhkan panah belok kiri,lihat berapa banyak mobil yang mengantri.,mereka membutuhkan panah belok kiri.
membutuhkan panah belok kiri,mobil berbelok kiri menit,mereka membutuhkan panah belok kiri.,hanya dua mobil yang dapat berbelok ke kiri setiap tiga atau empat menit.
mobil berbelok kiri menit,,hanya dua mobil yang dapat berbelok ke kiri setiap tiga atau empat menit.,kami akan berada di sini selamanya.
,jalur,kami akan berada di sini selamanya.,keluar dari jalur ini.
jalur,belok kiri,keluar dari jalur ini.,tapi kita harus belok kiri.
belok kiri,lupakan jalan lurus,tapi kita harus belok kiri.,lupakan. jalan lurus.
lupakan jalan lurus,,lupakan. jalan lurus.,lalu apa?
,memutar,lalu apa?,maka kita hanya akan memutar balik.
memutar,belok kanan lampu,maka kita hanya akan memutar balik.,dan kemudian kita bisa belok kanan di lampu.
belok kanan lampu,ide bagus cepat,dan kemudian kita bisa belok kanan di lampu.,ide bagus. itu akan jauh lebih cepat.
butuh mobil murah,uang miliki,saya butuh mobil murah.,berapa banyak uang yang Anda miliki?
uang miliki,1000,berapa banyak uang yang Anda miliki?,$ 1.000.
1000,memberimu,$ 1.000.,"baik, itu akan memberimu sesuatu."
memberimu,membutuhkan diandalkan,"baik, itu akan memberimu sesuatu.",tetapi saya membutuhkan sesuatu yang dapat diandalkan.
membutuhkan diandalkan,membutuhkan mobil jarak tempuh rendah,tetapi saya membutuhkan sesuatu yang dapat diandalkan.,Anda membutuhkan mobil dengan jarak tempuh rendah.
membutuhkan mobil jarak tempuh rendah,mobil milik wanita tua,Anda membutuhkan mobil dengan jarak tempuh rendah.,sebuah mobil milik seorang wanita tua kecil.
mobil milik wanita tua,kemana,sebuah mobil milik seorang wanita tua kecil.,kemana kamu melihat
kemana,,kemana kamu melihat,saya belum melihat ke mana pun.
,,saya belum melihat ke mana pun.,kenapa tidak?
,menemukan harga serendah,kenapa tidak?,karena saya tidak akan pernah menemukan satu pun dengan harga serendah itu.
menemukan harga serendah,hemat uang,karena saya tidak akan pernah menemukan satu pun dengan harga serendah itu.,Anda benar tentang itu. tetap hemat uang Anda.
selamat siang petugas,sim stnk,"selamat siang, petugas.",SIM dan STNK Anda.
sim stnk,,SIM dan STNK Anda.,ini dia.
,menarik,ini dia.,apakah Anda tahu mengapa saya menarik Anda?
menarik,ide tibatiba mendengar sirene,apakah Anda tahu mengapa saya menarik Anda?,Saya tidak punya ide. tiba-tiba saya mendengar sirene Anda.
ide tibatiba mendengar sirene,melewati tanda berhenti,Saya tidak punya ide. tiba-tiba saya mendengar sirene Anda.,Anda melewati tanda berhenti di belakang sana.
melewati tanda berhenti,berhenti,Anda melewati tanda berhenti di belakang sana.,tapi saya berhenti!
berhenti,melambat berhenti sepenuhnya,tapi saya berhenti!,"tidak, kamu tidak. Anda melambat, tetapi Anda tidak berhenti sepenuhnya."
melambat berhenti sepenuhnya,orang melakukannya,"tidak, kamu tidak. Anda melambat, tetapi Anda tidak berhenti sepenuhnya.","baik, tidak ada orang lain yang melakukannya, jadi mengapa saya harus?"
orang melakukannya,sikap pengemudi,"baik, tidak ada orang lain yang melakukannya, jadi mengapa saya harus?",itu bukanlah sikap pengemudi yang baik.
sikap pengemudi,pengemudi memiliki tiket hidup,itu bukanlah sikap pengemudi yang baik.,tapi saya pengemudi yang baik. Saya tidak pernah memiliki tiket dalam hidup saya.
pengemudi memiliki tiket hidup,semoga harimu menyenangkan,tapi saya pengemudi yang baik. Saya tidak pernah memiliki tiket dalam hidup saya.,"Nah, Anda punya satu sekarang. sini. semoga harimu menyenangkan."
140 percaya,bicarakan,$ 140. saya tidak percaya itu.,apa yang kamu bicarakan?
bicarakan,tiket pusat kota seharga 140,apa yang kamu bicarakan?,saya mendapat tiket ke pusat kota seharga $ 140.
tiket pusat kota seharga 140,ngebut,saya mendapat tiket ke pusat kota seharga $ 140.,apakah kamu ngebut?
ngebut,menyeberang jalan,apakah kamu ngebut?,"tidak, saya sedang menyeberang jalan."
menyeberang jalan,berjalan menyeberang,"tidak, saya sedang menyeberang jalan.",apakah kamu berjalan menyeberang?
berjalan menyeberang,penyeberangan,apakah kamu berjalan menyeberang?,"tidak, saya sedang di penyeberangan."
penyeberangan,tiket,"tidak, saya sedang di penyeberangan.",jadi mengapa Anda mendapatkan tiket?
tiket,petugas tangan merah berkedip,jadi mengapa Anda mendapatkan tiket?,kata petugas itu tangan merah itu berkedip.
petugas tangan merah berkedip,berkedip memasuki penyeberangan,kata petugas itu tangan merah itu berkedip.,apakah itu berkedip saat Anda memasuki penyeberangan?
berkedip memasuki penyeberangan,tanda jalan putih berkedip,apakah itu berkedip saat Anda memasuki penyeberangan?,"tidak, tanda jalan putih itu berkedip."
tanda jalan putih berkedip,melawan tiket saksimu,"tidak, tanda jalan putih itu berkedip.",Anda harus melawan tiket itu. aku akan menjadi saksimu.
penyeberangan sekolah 3 pagi,who,mereka berada di penyeberangan dekat sekolah pada pukul 3 pagi,WHO?
who,siswa usc,WHO?,dua siswa dari usc.
siswa usc,,dua siswa dari usc.,apa yang terjadi?
,mobil melaju melewati lampu merah membunuh gadis,apa yang terjadi?,"sebuah mobil yang melaju melewati lampu merah, membunuh gadis itu."
mobil melaju melewati lampu merah membunuh gadis,siswa,"sebuah mobil yang melaju melewati lampu merah, membunuh gadis itu.",apa yang terjadi dengan siswa lain?
siswa,mendarat kap mobil,apa yang terjadi dengan siswa lain?,dia mendarat di kap mobil.
mendarat kap mobil,turun kap mesin,dia mendarat di kap mobil.,apakah dia turun dari kap mesin?
turun kap mesin,mobil berhenti penumpang mendorong siswa terluka kap mobil,apakah dia turun dari kap mesin?,"tidak, mobil berhenti dan penumpang mendorong siswa yang terluka itu dari kap mobil."
mobil berhenti penumpang mendorong siswa terluka kap mobil,berani bertaruh mobil berjalan,"tidak, mobil berhenti dan penumpang mendorong siswa yang terluka itu dari kap mobil.",Saya berani bertaruh mobil terus berjalan.
berani bertaruh mobil berjalan,berhenti menabrak orang,Saya berani bertaruh mobil terus berjalan.,tentu saja. mengapa berhenti setelah Anda menabrak dua orang?
berhenti menabrak orang,berharap menemukan memenjarakan seumur hidup,tentu saja. mengapa berhenti setelah Anda menabrak dua orang?,Saya berharap mereka menemukan mereka dan memenjarakan mereka seumur hidup.
mobilmu,penyok parkir,apa yang terjadi dengan mobilmu?,saya mendapat penyok di tempat parkir.
penyok parkir,mendapatkannya,saya mendapat penyok di tempat parkir.,bagaimana kamu mendapatkannya?
mendapatkannya,keranjang belanja,bagaimana kamu mendapatkannya?,saya tidak tahu mungkin itu dari keranjang belanja.
keranjang belanja,kereta belanja berbahaya,saya tidak tahu mungkin itu dari keranjang belanja.,kereta belanja itu berbahaya.
kereta belanja berbahaya,logam,kereta belanja itu berbahaya.,terutama yang logam.
logam,parkir toko kereta belanja logam,terutama yang logam.,saya tidak parkir di toko yang menggunakan kereta belanja logam.
parkir toko kereta belanja logam,ide bagus obral bagus toko,saya tidak parkir di toko yang menggunakan kereta belanja logam.,"itu ide yang bagus, tapi ada obral yang bagus di toko ini."
ide bagus obral bagus toko,menyimpan uang penjualan,"itu ide yang bagus, tapi ada obral yang bagus di toko ini.",apakah Anda menyimpan uang untuk penjualan?
menyimpan uang penjualan,ya lakukan menghemat 50,apakah Anda menyimpan uang untuk penjualan?,ya saya lakukan. saya menghemat sekitar $ 50.
ya lakukan menghemat 50,keren,ya saya lakukan. saya menghemat sekitar $ 50.,itu keren.
keren,ya kecuali penyok menelan biaya 150,itu keren.,"ya, kecuali penyok ini akan menelan biaya sekitar $ 150."
titanic,iya film bagus,"apakah kamu melihat ""titanic""?",Iya. itu adalah film yang bagus.
iya film bagus,belas kali,Iya. itu adalah film yang bagus.,saya melihatnya dua belas kali.
belas kali,delapan kali,saya melihatnya dua belas kali.,saya melihatnya delapan kali.
delapan kali,dvd,saya melihatnya delapan kali.,saya punya dvd.
dvd,,saya punya dvd.,begitu juga aku.
,ayo pergi rumahmu,begitu juga aku.,ayo pergi ke rumahmu.
ayo pergi rumahmu,menonton dvd,ayo pergi ke rumahmu.,kita bisa menonton dvd saya.
menonton dvd,pergi rumah,kita bisa menonton dvd saya.,dan kemudian kita bisa pergi ke rumah saya.
pergi rumah,tonton dvd,dan kemudian kita bisa pergi ke rumah saya.,dan tonton dvd Anda.
tonton dvd,menangis,dan tonton dvd Anda.,saya selalu menangis di akhir.
menangis,sedih,saya selalu menangis di akhir.,saya juga. sedih sekali.
ayo main kartu,permainan kartu,ayo main kartu.,saya tidak tahu permainan kartu apa pun.
permainan kartu,mengajarimu,saya tidak tahu permainan kartu apa pun.,aku akan mengajarimu satu.
mengajarimu,ajarkan padaku,aku akan mengajarimu satu.,baik. apa yang akan kamu ajarkan padaku?
ajarkan padaku,poker,baik. apa yang akan kamu ajarkan padaku?,itu disebut poker.
poker,mudah dipelajari,itu disebut poker.,apakah mudah dipelajari?
mudah dipelajari,ya butuh 30 menit,apakah mudah dipelajari?,"ya, hanya butuh waktu sekitar 30 menit."
ya butuh 30 menit,ajari bermain,"ya, hanya butuh waktu sekitar 30 menit.",baik. ajari aku cara bermain.
ajari bermain,masingmasing kartu,baik. ajari aku cara bermain.,kita masing-masing mendapat lima kartu.
masingmasing kartu,oh lihat puluh,kita masing-masing mendapat lima kartu.,Oh lihat. saya punya empat puluh.
oh lihat puluh,bagus memberitahuku,Oh lihat. saya punya empat puluh.,"itu bagus, tapi kamu tidak seharusnya memberitahuku."
bagus memberitahuku,oh maaf oke puluhan,"itu bagus, tapi kamu tidak seharusnya memberitahuku.","oh. Maaf. oke, saya tidak punya empat puluhan."
pemain kartu,,Saya adalah pemain kartu yang baik.,mengapa demikian?
,menonton pemain,mengapa demikian?,karena saya menonton pemain lain.
menonton pemain,maksudmu,karena saya menonton pemain lain.,apa maksudmu?
maksudmu,orang memiliki tangan,apa maksudmu?,orang akan memberi tahu Anda jika mereka memiliki tangan yang baik.
orang memiliki tangan,melakukannya,orang akan memberi tahu Anda jika mereka memiliki tangan yang baik.,bagaimana mereka melakukannya?
melakukannya,teman menjilat bibirnya,bagaimana mereka melakukannya?,"Misalnya, seorang teman saya menjilat bibirnya."
teman menjilat bibirnya,menjilat bibirnya tangan bagus,"Misalnya, seorang teman saya menjilat bibirnya.","ketika dia menjilat bibirnya, kamu tahu dia punya tangan yang bagus?"
menjilat bibirnya tangan bagus,memiliki tangan,"ketika dia menjilat bibirnya, kamu tahu dia punya tangan yang bagus?","saya tahu dia memiliki tangan yang baik, jadi saya tidak yakin."
memiliki tangan,memenangkan uangmu,"saya tahu dia memiliki tangan yang baik, jadi saya tidak yakin.",dia tidak pernah memenangkan uangmu?
memenangkan uangmu,membuatnya gila,dia tidak pernah memenangkan uangmu?,"tidak, dan itu membuatnya gila."
membuatnya gila,membaca pikirannya curang,"tidak, dan itu membuatnya gila.",dia tahu kamu tidak bisa membaca pikirannya. mungkin dia mengira kamu curang.
tolong matikan radionya,mendengarkannya,tolong matikan radionya.,tapi aku mendengarkannya.
mendengarkannya,baiklah dengarkan tenang,tapi aku mendengarkannya.,"baiklah, dengarkan dengan lebih tenang."
baiklah dengarkan tenang,menunggu dewasa,"baiklah, dengarkan dengan lebih tenang.",saya tidak bisa menunggu sampai saya dewasa.
menunggu dewasa,lakukan,saya tidak bisa menunggu sampai saya dewasa.,apa yang akan kamu lakukan?
lakukan,memutar radio sekeras,apa yang akan kamu lakukan?,saya akan memutar radio sekeras yang saya inginkan.
memutar radio sekeras,apaapa bagiku,saya akan memutar radio sekeras yang saya inginkan.,tidak apa-apa bagiku.
apaapa bagiku,memiliki radio kamar rumah,tidak apa-apa bagiku.,Saya akan memiliki radio di setiap kamar rumah saya.
memiliki radio kamar rumah,ingatkan mengunjungi,Saya akan memiliki radio di setiap kamar rumah saya.,ingatkan saya untuk tidak pernah mengunjungi Anda.
ingatkan mengunjungi,radio bersuara ekstra keras,ingatkan saya untuk tidak pernah mengunjungi Anda.,semua radio akan bersuara ekstra keras.
radio bersuara ekstra keras,tetangga membenci,semua radio akan bersuara ekstra keras.,tetangga Anda akan membenci Anda.
tetangga membenci,menyukainya bergerak,tetangga Anda akan membenci Anda.,"jika mereka tidak menyukainya, mereka bisa bergerak."
harap memenangkan lotre,peluang,Saya harap saya memenangkan lotre.,peluang Anda sangat kecil.
peluang,menang bermain,peluang Anda sangat kecil.,tetapi Anda tidak bisa menang jika Anda tidak bermain.
menang bermain,ha menang bermain,tetapi Anda tidak bisa menang jika Anda tidak bermain.,Ha! Anda tidak bisa menang jika Anda bermain.
ha menang bermain,menang,Ha! Anda tidak bisa menang jika Anda bermain.,seseorang harus menang.
menang,orang,seseorang harus menang.,itulah yang dikatakan semua orang.
orang,,itulah yang dikatakan semua orang.,mungkin juga aku.
,orang,mungkin juga aku.,itulah yang dikatakan semua orang.
orang,mencoba,itulah yang dikatakan semua orang.,Anda mencoba memberi tahu saya sesuatu.
mencoba,butuh,Anda mencoba memberi tahu saya sesuatu.,itu tidak butuh waktu lama.
butuh,pikir berhenti bermain,itu tidak butuh waktu lama.,Anda pikir saya harus berhenti bermain.
pikir berhenti bermain,simpan uangmu sekolah,Anda pikir saya harus berhenti bermain.,simpan uangmu untuk sekolah.
tv,,ada apa di tv?,tidak banyak.
,pertandingan bisbol,tidak banyak.,bagaimana dengan pertandingan bisbol?
pertandingan bisbol,kehujanan,bagaimana dengan pertandingan bisbol?,itu kehujanan.
kehujanan,kehujanan,itu kehujanan.,kehujanan?
kehujanan,ya hujan,kehujanan?,"ya, hujan."
ya hujan,,"ya, hujan.",bagaimana bisa?
,bermain bisbol hujan badai,bagaimana bisa?,"Nah, Anda tidak bisa bermain bisbol dalam hujan badai."
bermain bisbol hujan badai,pikir bermain kubah,"Nah, Anda tidak bisa bermain bisbol dalam hujan badai.",saya pikir mereka bermain di bawah kubah.
pikir bermain kubah,kubah menutup,saya pikir mereka bermain di bawah kubah.,kubah tidak menutup.
kubah menutup,ditutup,kubah tidak menutup.,kenapa tidak ditutup?
ditutup,memperbaikinya musim,kenapa tidak ditutup?,siapa tahu? mereka mengatakan akan memperbaikinya sebelum musim depan.
mencoba kopimu,,bolehkah aku mencoba kopimu?,Tentu. ini dia.
,hmm buruk,Tentu. ini dia.,"hmm, itu tidak buruk."
hmm buruk,apaapa dalamnya,"hmm, itu tidak buruk.",tidak ada apa-apa di dalamnya.
apaapa dalamnya,maksudmu,tidak ada apa-apa di dalamnya.,apa maksudmu?
maksudmu,maksudku kopi,apa maksudmu?,"Maksudku, ini hanya kopi."
maksudku kopi,pikir,"Maksudku, ini hanya kopi.",saya pikir itu.
pikir,pahit untukmu,saya pikir itu.,tidak terlalu pahit untukmu?
pahit untukmu,pahit apaapa,tidak terlalu pahit untukmu?,"ini sedikit pahit, tapi tidak apa-apa."
pahit apaapa,gula krim dalamnya,"ini sedikit pahit, tapi tidak apa-apa.",tidak ada gula atau krim di dalamnya.
gula krim dalamnya,biasakan,tidak ada gula atau krim di dalamnya.,"tidak, ini adalah rasa yang harus Anda biasakan."
biasakan,bir,"tidak, ini adalah rasa yang harus Anda biasakan.",semacam bir.
ayo jalanjalan,cuaca nya,ayo jalan-jalan.,seperti apa cuaca nya?
cuaca nya,biarkan,seperti apa cuaca nya?,biarkan aku keluar dan melihat.
biarkan,dingin,biarkan aku keluar dan melihat.,"sedikit dingin, bukan?"
dingin,ya,"sedikit dingin, bukan?",ya itu.
ya,memakai topi,ya itu.,Saya akan memakai topi saya.
memakai topi,kenakan jaket,Saya akan memakai topi saya.,kenakan jaket juga.
kenakan jaket,membawa sarung tangan,kenakan jaket juga.,Saya ingin tahu apakah saya harus membawa sarung tangan saya.
membawa sarung tangan,kalaukalau cuaca dingin,Saya ingin tahu apakah saya harus membawa sarung tangan saya.,"mungkin Anda harus, kalau-kalau cuaca semakin dingin."
kalaukalau cuaca dingin,meletakkan sarung tangan saku,"mungkin Anda harus, kalau-kalau cuaca semakin dingin.",Saya akan meletakkan sarung tangan di setiap saku.
meletakkan sarung tangan saku,hangat berjalan,Saya akan meletakkan sarung tangan di setiap saku.,kita akan menjadi lebih hangat saat kita berjalan.
hangat berjalan,ya dingin matahari terbenam,kita akan menjadi lebih hangat saat kita berjalan.,"ya, tapi semakin dingin saat matahari terbenam."
lihat pengejaran mobil tv,pengemudi gila,lihat pengejaran mobil di tv!,pengemudi itu gila.
pengemudi gila,percaya jatuh,pengemudi itu gila.,Saya tidak percaya dia tidak jatuh.
percaya jatuh,cepat pergi,Saya tidak percaya dia tidak jatuh.,seberapa cepat dia pergi?
cepat pergi,bilang melaju 80 mil jam,seberapa cepat dia pergi?,mereka bilang dia melaju 80 mil per jam.
bilang melaju 80 mil jam,membunuh,mereka bilang dia melaju 80 mil per jam.,dia akan membunuh seseorang.
membunuh,lihat menabrak mobil,dia akan membunuh seseorang.,Lihat! dia baru saja menabrak mobil itu.
lihat menabrak mobil,ya tuhan aman jalanan,Lihat! dia baru saja menabrak mobil itu.,ya Tuhan. tidak ada yang aman di jalanan.
ya tuhan aman jalanan,melambat,ya Tuhan. tidak ada yang aman di jalanan.,sekarang dia melambat.
melambat,kehabisan bensin,sekarang dia melambat.,mungkin dia kehabisan bensin.
kehabisan bensin,lihat mobil berlari,mungkin dia kehabisan bensin.,Lihat! dia baru saja keluar dari mobil dan mulai berlari.
lihat mobil berlari,harap polisi menangkapnya,Lihat! dia baru saja keluar dari mobil dan mulai berlari.,Saya harap polisi menangkapnya.
berita tv bodoh,menyebutnya berita,berita tv sangat bodoh.,mereka seharusnya tidak menyebutnya berita.
menyebutnya berita,malam seekor kucing sofa,mereka seharusnya tidak menyebutnya berita.,tadi malam mereka memberi tahu kami tentang seekor kucing di sofa.
malam seekor kucing sofa,kemarin seekor anjing pipa,tadi malam mereka memberi tahu kami tentang seekor kucing di sofa.,kemarin mereka memberi tahu kami tentang seekor anjing di dalam pipa.
kemarin seekor anjing pipa,minggu beruang halaman,kemarin mereka memberi tahu kami tentang seekor anjing di dalam pipa.,minggu lalu mereka memberi tahu kami tentang beruang di halaman belakang.
minggu beruang halaman,seekor tikus restoran,minggu lalu mereka memberi tahu kami tentang beruang di halaman belakang.,bulan lalu mereka memberi tahu kami tentang seekor tikus di sebuah restoran.
seekor tikus restoran,petugas cuaca suhu kota,bulan lalu mereka memberi tahu kami tentang seekor tikus di sebuah restoran.,petugas cuaca memberi tahu kami suhu di setiap kota.
petugas cuaca suhu kota,pria olahragawan pemain berkelahi,petugas cuaca memberi tahu kami suhu di setiap kota.,pria olahragawan menunjukkan kepada kami para pemain berkelahi.
pria olahragawan pemain berkelahi,,pria olahragawan menunjukkan kepada kami para pemain berkelahi.,"mereka selalu memberi tahu kami ""apa selanjutnya""."
,terdengar menarik,"mereka selalu memberi tahu kami ""apa selanjutnya"".","mereka selalu membuat ""apa selanjutnya"" terdengar menarik, tetapi tidak pernah."
terdengar menarik,berita anakanak,"mereka selalu membuat ""apa selanjutnya"" terdengar menarik, tetapi tidak pernah.",ini lebih seperti berita untuk anak-anak.
berita anakanak,memiliki reporter anakanak,ini lebih seperti berita untuk anak-anak.,mereka harus memiliki reporter anak-anak.
suka komputer,komputer keren,saya suka komputer saya.,komputer sangat keren.
komputer keren,suka online,komputer sangat keren.,saya suka online.
suka online,internet,saya suka online.,internet luar biasa.
internet,bepergian dunia,internet luar biasa.,Anda bisa bepergian ke seluruh dunia.
bepergian dunia,pergi cina kemarin,Anda bisa bepergian ke seluruh dunia.,aku tahu. saya pergi ke Cina kemarin.
pergi cina kemarin,lakukan,aku tahu. saya pergi ke Cina kemarin.,apa yang kamu lakukan?
lakukan,berdiri tembok sekeliling,apa yang kamu lakukan?,saya berdiri di tembok besar dan melihat sekeliling.
berdiri tembok sekeliling,,saya berdiri di tembok besar dan melihat sekeliling.,apa rasanya?
,nyata,apa rasanya?,itu seperti hal yang nyata.
nyata,,itu seperti hal yang nyata.,rasanya seperti berada di sana?
,ya benarbenar,rasanya seperti berada di sana?,"ya, saya merasa seperti saya benar-benar ada di sana."
the beatles terbaik,grup musik terbaik,the beatles adalah yang terbaik.,mereka adalah grup musik terbaik yang pernah ada.
grup musik terbaik,suka lagu,mereka adalah grup musik terbaik yang pernah ada.,saya suka semua lagu mereka.
suka lagu,suka,saya suka semua lagu mereka.,Saya tidak tahu mana yang paling saya suka.
suka,suka nyanyikan,Saya tidak tahu mana yang paling saya suka.,Saya suka yang bisa saya nyanyikan bersama.
suka nyanyikan,mencintaimu,Saya suka yang bisa saya nyanyikan bersama.,"Aku juga, seperti ""dia mencintaimu""."
mencintaimu,mencintaimu yeah yeah yeah,"Aku juga, seperti ""dia mencintaimu"".","""dia mencintaimu, yeah, yeah, yeah! ..."""
mencintaimu yeah yeah yeah,,"""dia mencintaimu, yeah, yeah, yeah! ...""",""""
,senang,"""","dan kamu tahu kamu harus senang! """
senang,lagu bagus,"dan kamu tahu kamu harus senang! """,lagu yang bagus.
lagu bagus,biarlah,lagu yang bagus.,"bagaimana dengan ""biarlah?"""
biarlah,oh ya biarlah biarlah,"bagaimana dengan ""biarlah?""","Oh ya! ""biarlah, biarlah"
oh ya biarlah biarlah,,"Oh ya! ""biarlah, biarlah",""""
,,"""",""""
ayo pergi bioskop,biarlah,ayo pergi ke bioskop.,"akan ada jawaban, biarlah! """
suka,suka,saya lebih suka tidak.,saya lebih suka tidak.
,,kenapa tidak?,kenapa tidak?
suka orang,suka orang,Anda tahu saya tidak suka orang banyak.,Anda tahu saya tidak suka orang banyak.
mari pergi film,mari pergi film,mari kita pergi ke film awal.,mari kita pergi ke film awal.
oke ramai,oke ramai,"oke, itu tidak akan terlalu ramai.","oke, itu tidak akan terlalu ramai."
lihat,lihat,apa yang ingin kamu lihat?,apa yang ingin kamu lihat?
oh peduli kaulah,oh peduli kaulah,"oh, saya tidak peduli. kaulah yang ingin keluar.","oh, saya tidak peduli. kaulah yang ingin keluar."
baiklah mengejar kebahagiaan,baiklah mengejar kebahagiaan,"baiklah, saya ingin melihat ""mengejar kebahagiaan"".","baiklah, saya ingin melihat ""mengejar kebahagiaan""."
dengar,dengar,apa yang kamu dengar tentang itu?,apa yang kamu dengar tentang itu?
didasarkan kisah nyata pria bercerai putranya,didasarkan kisah nyata pria bercerai putranya,Ini didasarkan pada kisah nyata tentang seorang pria yang bercerai dan putranya yang masih kecil.,Ini didasarkan pada kisah nyata tentang seorang pria yang bercerai dan putranya yang masih kecil.
favoritmu,harap memiliki bahagia,apa hal favoritmu untuk dilakukan?,"baik, saya harap ini memiliki akhir yang bahagia."
suka orang,suka orang,saya suka melihat orang.,saya suka melihat orang.
favoritmu,favoritmu,itu hal favoritmu untuk dilakukan?,itu hal favoritmu untuk dilakukan?
salah satunya,salah satunya,"baik, itu salah satunya.","baik, itu salah satunya."
kemana pergi orang,kemana pergi orang,kemana kamu pergi untuk melihat orang?,kemana kamu pergi untuk melihat orang?
pacar duduk starbucks,pacar duduk starbucks,pacar saya dan saya duduk di luar starbucks.,pacar saya dan saya duduk di luar starbucks.
bagus,bagus,sepertinya tempat yang bagus.,sepertinya tempat yang bagus.
orangorang berjalan anjing,orangorang berjalan anjing,kami melihat orang-orang berjalan dengan anjing mereka.,kami melihat orang-orang berjalan dengan anjing mereka.
anjing berbeda,anjing berbeda,saya rasa Anda melihat banyak anjing yang berbeda.,saya rasa Anda melihat banyak anjing yang berbeda.
kebanyakan,kebanyakan,kita bahkan tidak tahu kebanyakan dari mereka.,kita bahkan tidak tahu kebanyakan dari mereka.
jenis berbeda memiliki kesamaan,jenis berbeda memiliki kesamaan,"Ada banyak jenis yang berbeda, tetapi semuanya memiliki satu kesamaan.","Ada banyak jenis yang berbeda, tetapi semuanya memiliki satu kesamaan."
memanggilnya uang dolar ayah,ya suka mengendus bertemu,mereka memanggilnya uang dolar ayah.,"ya, mereka suka mengendus satu sama lain saat bertemu."
ya berita tv,ya berita tv,"ya, dia ada di berita tv hari ini.","ya, dia ada di berita tv hari ini."
minggu paskah uang,minggu paskah uang,setiap minggu paskah dia memberikan uang.,setiap minggu paskah dia memberikan uang.
uangnya,uangnya,apakah itu uangnya?,apakah itu uangnya?
bintang film memberinya uang tunawisma,bintang film memberinya uang tunawisma,tidak. bintang film memberinya uang untuk diberikan kepada para tunawisma.,tidak. bintang film memberinya uang untuk diberikan kepada para tunawisma.
uang,uang,berapa banyak uang yang dia berikan?,berapa banyak uang yang dia berikan?
15000,15000,tahun ini dia memberikan $ 15.000.,tahun ini dia memberikan $ 15.000.
uang,uang,itu uang yang banyak.,itu uang yang banyak.
100 orangorang kursi roda,100 orangorang kursi roda,dia memberi $ 100 kepada orang-orang di kursi roda.,dia memberi $ 100 kepada orang-orang di kursi roda.
tunawisma,tunawisma,bagaimana dengan tunawisma lainnya?,bagaimana dengan tunawisma lainnya?
masingmasing 1,masingmasing 1,mereka masing-masing mendapat $ 1.,mereka masing-masing mendapat $ 1.
filmfilm terbaik,orangorang antri dolar,film-film lama adalah yang terbaik.,orang-orang antri hanya untuk mendapatkan satu dolar ?!
warnanya hitam putih,warnanya hitam putih,meskipun warnanya hitam dan putih.,meskipun warnanya hitam dan putih.
cerita bagus warna,cerita bagus warna,cerita yang bagus lebih penting daripada warna.,cerita yang bagus lebih penting daripada warna.
aktor mengutuk,aktor mengutuk,aktor tidak mengutuk saat itu.,aktor tidak mengutuk saat itu.
kekerasan,kekerasan,dan tidak ada kekerasan.,dan tidak ada kekerasan.
orang suka,orang suka,orang hari ini tidak suka itu.,orang hari ini tidak suka itu.
orang menyukai aksi,orang menyukai aksi,"tidak, hari ini orang menyukai banyak aksi.","tidak, hari ini orang menyukai banyak aksi."
suka cerita bagus,suka cerita bagus,Saya suka cerita yang bagus.,Saya suka cerita yang bagus.
suka aktor orang sungguhan,suka aktor orang sungguhan,Saya suka melihat aktor yang seperti orang sungguhan.,Saya suka melihat aktor yang seperti orang sungguhan.
orang sungguhan nyata,orang sungguhan nyata,seperti orang sungguhan dengan masalah nyata.,seperti orang sungguhan dengan masalah nyata.
film,film,mereka masih membuat film seperti itu.,mereka masih membuat film seperti itu.
pbs tv,ya menghasilkan uang,apakah kamu mendapatkan pbs di tv?,"ya, tapi mereka tidak pernah menghasilkan banyak uang."
ya orang sistem penyiaran publik,ya orang sistem penyiaran publik,"ya, semua orang mendapatkan sistem penyiaran publik.","ya, semua orang mendapatkan sistem penyiaran publik."
tertidur,tertidur,itu membuat saya tertidur.,itu membuat saya tertidur.
beritahu,beritahu,Beritahu aku tentang itu.,Beritahu aku tentang itu.
pertunjukan berkebun mengikuti pertunjukan merajut,pertunjukan berkebun mengikuti pertunjukan merajut,pertunjukan berkebun mengikuti pertunjukan merajut.,pertunjukan berkebun mengikuti pertunjukan merajut.
