questions,answers
it is delicious especially with butter,i think we should just leave after we fill up on the bread.
i think we should just leave after we fill up on the bread,they probably wouldn't like that.
they probably wouldnt like that,i'm eating so much bread that i'm getting full.
im eating so much bread that im getting full,then stop eating the bread!
then stop eating the bread,"okay, just one more piece. pass the butter, please."
okay just one more piece pass the butter please,"if i owned a restaurant, i would never serve hot bread before the main course."
if i owned a restaurant i would never serve hot bread before the main course,that's terrible. i would never go to your restaurant.
is this a clean restaurant,"well, the tables and chairs look okay."
well the tables and chairs look okay,"okay, let's sit down."
okay lets sit down,check out the silverware.
check out the silverware,it passes inspection.
it passes inspection,here comes the waiter. see if his hands and nails are clean.
here comes the waiter see if his hands and nails are clean,"well, the waiter looked clean, so i guess it's okay to eat here."
well the waiter looked clean so i guess its okay to eat here,you're forgetting about the bathroom.
youre forgetting about the bathroom,i'm going to just hope that the bathroom is clean.
im going to just hope that the bathroom is clean,you're not going to examine it before we order dinner?
youre not going to examine it before we order dinner,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now."
no id rather not find out that its dirty because im pretty hungry right now,"me, too. let's forget about germs and focus on food."
have you seen our waiter,here he comes now.
here he comes now,we've been sitting here for almost 10 minutes.
weve been sitting here for almost 10 minutes,"oops, i guess i was wrong. that isn't our waiter."
oops i guess i was wrong that isnt our waiter,"we can give him five more minutes, and then leave."
we can give him five more minutes and then leave,i'll go up front and talk to the manager.
ill go up front and talk to the manager,that's a good idea.
thats a good idea,maybe they'll give us free drinks for waiting so long.
maybe theyll give us free drinks for waiting so long,maybe he'll send us our waiter immediately.
maybe hell send us our waiter immediately,"every time we eat out, it's an adventure."
every time we eat out its an adventure,"last time, we got seats next to the kitchen."
last time we got seats next to the kitchen,we'll never go there again.
is this table okay,"no, it's too close to the kitchen door."
no its too close to the kitchen door,how about this table?
how about this table,"no, it's too close to the front door."
no its too close to the front door,this looks like a nice table.
this looks like a nice table,"no, it's too close to the salad bar."
no its too close to the salad bar,"okay, i give up."
okay i give up,"well, there is one good table."
well there is one good table,great. which one?
great which one,that one. a group of eight just sat down at it.
i dont believe the art world,what is it this time?
what is it this time,an andy warhol drawing.
an andy warhol drawing,he's a famous artist.
hes a famous artist,he drew two butterflies and a flower on a napkin in a restaurant.
he drew two butterflies and a flower on a napkin in a restaurant,did he sign it?
did he sign it,yes.
yes,is it beautiful?
is it beautiful,it's just black ink on a white napkin. and the napkin has food stains!
its just black ink on a white napkin and the napkin has food stains,so it's not worth much?
so its not worth much,"only about $30,000."
only about 30000,"without the food stains, it would probably be worth more."
can we go to the baseball game,of course.
of course,i love baseball.
i love baseball,so do i.
so do i,i love to eat the peanuts.
i love to eat the peanuts,i love to eat the hot dogs.
i love to eat the hot dogs,i hope we'll see a home run.
i hope well see a home run,i hope we'll catch a foul ball.
i hope well catch a foul ball,bring a jacket.
bring a jacket,yes. it gets a little cool at night.
yes it gets a little cool at night,bring a glove to catch a foul ball.
bring a glove to catch a foul ball,no. i'll just use my cap to catch a foul ball.
golf is a silly game,it certainly is.
it certainly is,you hit a white ball.
you hit a white ball,and then you chase it.
and then you chase it,and then you hit it again.
and then you hit it again,"finally, you put the ball into a hole in the ground."
finally you put the ball into a hole in the ground,"you do this 18 times, because there are 18 holes."
you do this 18 times because there are 18 holes,what's the point?
whats the point,how can it be fun?
how can it be fun,they pay money to play this silly game!
they pay money to play this silly game,i think golfers have a mental problem.
i think golfers have a mental problem,i think they're nuts.
do you want to go fishing,yes. that's a good idea.
yes thats a good idea,where do you want to go?
where do you want to go,we can go to the river.
we can go to the river,or we can go to the lake.
or we can go to the lake,or we can go to the ocean.
or we can go to the ocean,let's go to the lake.
lets go to the lake,yes. the lake is only 10 miles away.
yes the lake is only 10 miles away,we can be there in 20 minutes.
we can be there in 20 minutes,i'll get our fishing rods.
ill get our fishing rods,i'll get the bait.
ill get the bait,we'll have fresh fish for dinner!
baseball is fun,i like to hit the ball.
i like to hit the ball,i like to run around the bases.
i like to run around the bases,i like to slide into the bases.
i like to slide into the bases,yeah. it's a lot of fun to slide.
yeah its a lot of fun to slide,i want to be a baseball player when i grow up.
i want to be a baseball player when i grow up,me too. i want to play for the yankees.
me too i want to play for the yankees,not me. i want to play for the dodgers.
not me i want to play for the dodgers,we have to practice every day.
we have to practice every day,i don't like practice.
i dont like practice,me neither. it's boring.
me neither its boring,but practice makes perfect.
lets go jogging,that's a good idea.
thats a good idea,i bought some new shoes.
i bought some new shoes,are they comfortable?
are they comfortable,they're very comfortable.
theyre very comfortable,how much were they?
how much were they,they were on sale for $80.
they were on sale for 80,do they help you run faster?
do they help you run faster,"no, but my feet don't hurt anymore."
no but my feet dont hurt anymore,then they're worth every penny.
then theyre worth every penny,you might want to buy a pair.
you might want to buy a pair,i'll wait until i wear this pair out.
tiger is the greatest golfer in the world,you can say that again.
you can say that again,but i'm worried about tiger.
but im worried about tiger,why is that?
why is that,because he likes to scuba dive.
because he likes to scuba dive,what's wrong with that?
whats wrong with that,it can be dangerous.
it can be dangerous,you mean he could drown.
you mean he could drown,he shouldn't scuba dive until he retires.
he shouldnt scuba dive until he retires,but he dives to relax.
but he dives to relax,"he might relax, but it makes me nervous."
he might relax but it makes me nervous,"if his wife doesn't mind, you shouldn't mind."
did you watch that golf tournament,the one that tiger won?
the one that tiger won,how did he do it?
how did he do it,it was nothing for him.
it was nothing for him,he sank a 20-foot putt on the last hole to win by one stroke!
he sank a 20foot putt on the last hole to win by one stroke,he sank a 25-footer last year at the same tournament to win by one stroke.
he sank a 25footer last year at the same tournament to win by one stroke,i think he is from outer space.
i think he is from outer space,no human could possibly play golf that well.
no human could possibly play golf that well,"whenever he needs a shot to win a tournament, he makes that shot."
whenever he needs a shot to win a tournament he makes that shot,no human can do that.
no human can do that,somebody should check his birth record.
somebody should check his birth record,i bet it says he was born on mars.
whos the greatest baseball player,there are so many great players.
there are so many great players,"yes, but who is the greatest?"
yes but who is the greatest,i'd have to say babe ruth.
id have to say babe ruth,most people would say that.
most people would say that,he changed the game.
he changed the game,"yes, he made the home run popular."
yes he made the home run popular,"everybody loved him, all over the nation."
everybody loved him all over the nation,he helped make the yankees the best team ever.
he helped make the yankees the best team ever,"and ruth was a good person, too."
and ruth was a good person too,he always visited hospitals to cheer up sick kids.
he always visited hospitals to cheer up sick kids,there will never be another babe.
did you hear what happened at the baseball game,"no, please tell me."
no please tell me,someone punched out someone.
someone punched out someone,that's not nice.
thats not nice,it's worse than that.
its worse than that,how so?
how so,two guys got into an argument.
two guys got into an argument,i'll bet they were drinking.
ill bet they were drinking,a third guy punched one of the two guys.
a third guy punched one of the two guys,"i'll bet he was drinking, too."
ill bet he was drinking too,the victim hit his head on the concrete steps and died.
the victim hit his head on the concrete steps and died,that's terrible. can't people just have fun at a baseball game?
i want to go to the ball game,is there a game tonight?
is there a game tonight,"yes, it starts at 7 p.m."
yes it starts at 7 pm,can we get tickets?
can we get tickets,"yes, but only the cheap tickets."
yes but only the cheap tickets,how much are they?
how much are they,they're only $5 each.
theyre only 5 each,that's a good price.
thats a good price,"yes, it's cheaper than a hot dog or a beer."
yes its cheaper than a hot dog or a beer,where are the seats?
where are the seats,they're behind the outfield.
theyre behind the outfield,maybe we can catch a home run ball.
golf is so hard,what's so hard about hitting a little white ball?
whats so hard about hitting a little white ball,it's hard if you want to do it right.
its hard if you want to do it right,you mean like tiger?
you mean like tiger,"no, like a good amateur golfer."
no like a good amateur golfer,what's so hard about golf?
whats so hard about golf,there are so many things you have to do right.
there are so many things you have to do right,like what?
like what,"like keep your left arm straight, keep your head down, and follow through."
like keep your left arm straight keep your head down and follow through,yikes! who can remember all that?
yikes who can remember all that,you need to get a lot of lessons when you're really young.
you need to get a lot of lessons when youre really young,forget it. golf sounds more like work than fun.
did you hear about the ball player,the home run hitter on drugs?
the home run hitter on drugs,he said a doctor helped him with a personal problem.
he said a doctor helped him with a personal problem,he said he wasn't using drugs.
he said he wasnt using drugs,he apologized to the fans.
he apologized to the fans,the league suspended him for 50 games.
the league suspended him for 50 games,that will cost him some money.
that will cost him some money,"yes, about $7 million."
yes about 7 million,that will teach him a good lesson.
that will teach him a good lesson,he probably won't use drugs anymore.
he probably wont use drugs anymore,but it won't stop other players from using drugs.
but it wont stop other players from using drugs,no. everyone always figures that they won't get caught.
why is there so much crime,because parents don't teach their kids right from wrong.
because parents dont teach their kids right from wrong,is that it?
is that it,"also, there aren't enough police."
also there arent enough police,but there are a lot of police.
but there are a lot of police,there's only one police officer per 100 criminals.
theres only one police officer per 100 criminals,can't we hire more police?
cant we hire more police,no. it costs too much money.
no it costs too much money,doesn't crime cost more than police?
doesnt crime cost more than police,"yes, it does."
yes it does,so it would be cheaper to hire more police?
so it would be cheaper to hire more police,"yes, it would."
this is a great neighborhood,"yes, it is."
yes it is,people are friendly.
people are friendly,"yes, they are."
yes they are,the streets and sidewalks are clean.
the streets and sidewalks are clean,"yes, they are."
yes they are,there's a real nice park nearby.
theres a real nice park nearby,"yes, there is."
yes there is,i feel safe here.
i feel safe here,there is no crime here.
there is no crime here,i wish i could move here.
i wish i could move here,"maybe you can, if someone moves out."
the house burned down,what happened?
what happened,the man fell asleep.
the man fell asleep,was he smoking?
was he smoking,"yes, he was smoking a cigarette."
yes he was smoking a cigarette,did he die?
did he die,"yes, he did. his cat died, too."
yes he did his cat died too,that's too bad. what about his smoke alarm?
thats too bad what about his smoke alarm,the battery was dead.
the battery was dead,a good battery would have saved his life.
a good battery would have saved his life,"he had cigarettes, but no battery."
he had cigarettes but no battery,it happens all the time.
they say he has started fifteen big fires,he's been in jail three times already.
hes been in jail three times already,why did they ever let him out?
why did they ever let him out,it's the law. they can't keep him in jail forever.
its the law they cant keep him in jail forever,why not? everyone knows he's a firebug. he loves to start fires.
why not everyone knows hes a firebug he loves to start fires,i don't know. sometimes the law doesn't make sense.
i dont know sometimes the law doesnt make sense,but his latest fire killed someone.
but his latest fire killed someone,this time they have charged him with murder.
this time they have charged him with murder,so maybe he'll go to jail forever?
so maybe hell go to jail forever,i sure hope so.
i sure hope so,someone should set him on fire.
someone should set him on fire,that would teach him a good lesson.
put your seatbelt on,why?
why,because it will protect you in case of an accident.
because it will protect you in case of an accident,but it's uncomfortable.
but its uncomfortable,it's the law.
its the law,it's so much trouble.
its so much trouble,it's common sense.
its common sense,it's so tight that it's hard for me to breathe.
its so tight that its hard for me to breathe,hold your breath till we get there.
hold your breath till we get there,"okay, my seatbelt is on."
okay my seatbelt is on,i'm glad you don't complain very much.
im glad you dont complain very much,i'm ready for an accident.
what are you doing,i'm going to change the light bulb. it burnt out.
im going to change the light bulb it burnt out,what are you standing on?
what are you standing on,a couple of dictionaries and some textbooks.
a couple of dictionaries and some textbooks,are you crazy?
are you crazy,what's the matter?
whats the matter,those books will slip and you'll fall.
those books will slip and youll fall,it's only a couple of feet.
its only a couple of feet,"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?"
what if you fall while youre holding the light bulb and it breaks and pieces go into your eyes,i never thought about that.
i never thought about that,you'd be blind for the rest of your life!
youd be blind for the rest of your life,i'll get the stepladder.
did you see that puddle of water on the floor,yes. i called for a clean-up.
yes i called for a cleanup,a puddle of water is very dangerous.
a puddle of water is very dangerous,it isn't easy to see.
it isnt easy to see,but it's real easy to slip on.
but its real easy to slip on,especially on these slick floors.
especially on these slick floors,someone who slips could hurt their back.
someone who slips could hurt their back,they could even crack their head open.
they could even crack their head open,we should stand here till the clean-up person gets here.
we should stand here till the cleanup person gets here,we can leave if we put an orange cone here.
we can leave if we put an orange cone here,"yes, but i don't know where the orange cones are."
yes but i dont know where the orange cones are, it doesn't matter. here he comes now with the mop.
what happens when the fire alarm rings,we tell our students to leave the classroom.
we tell our students to leave the classroom,can they take their belongings?
can they take their belongings,"yes, if they do it quickly."
yes if they do it quickly,where do the students go?
where do the students go,they go out to the north parking lot.
they go out to the north parking lot,what do the teachers do?
what do the teachers do,we take our rosters to the parking lot and take roll.
we take our rosters to the parking lot and take roll,why do you do that?
why do you do that,we want to make sure all the students are out of the building.
we want to make sure all the students are out of the building,"if they are all outside, then what?"
if they are all outside then what,then we just wait outside for a fireman to tell us to go back in.
i have to go back upstairs,why? we're already late.
why were already late,i have to check the stove.
i have to check the stove,what's the matter?
whats the matter,maybe i left the burner on.
maybe i left the burner on,"no, you didn't. i checked the stove before we left."
no you didnt i checked the stove before we left,are you sure?
are you sure,of course i'm sure.
of course im sure,"well, i have to go back upstairs anyway."
well i have to go back upstairs anyway,it's getting later every minute.
its getting later every minute,i think i left the water running.
i think i left the water running,"no, you didn't. let's go! the only thing running is the clock!"
the city is buying guns,what are they paying?
what are they paying,"up to $200 for each gun, no questions asked."
up to 200 for each gun no questions asked,why are they doing this?
why are they doing this,they want to get guns off the street.
they want to get guns off the street,who would turn in a gun for $200?
who would turn in a gun for 200,that isn't a good deal?
that isnt a good deal,a good gun costs $400 or more.
a good gun costs 400 or more,"well, if you bring your receipt, maybe they'll give you $400."
well if you bring your receipt maybe theyll give you 400,i'll keep my receipt and my gun.
ill keep my receipt and my gun,i didn't know you had a gun.
i didnt know you had a gun,everyone in america should have a gun.
youre yawning,i sure am.
i sure am,you should go to bed.
you should go to bed,i will as soon as i finish this article.
i will as soon as i finish this article,what are you reading?
what are you reading,it's about crime in los angeles.
its about crime in los angeles,what does it say?
what does it say,the mayor says the crime rate is going down.
the mayor says the crime rate is going down,then why does everyone lock their doors?
then why does everyone lock their doors,i guess they haven't read this article.
i guess they havent read this article,no one believes that the crime rate is going down.
no one believes that the crime rate is going down,maybe the mayor is just talking about his own neighborhood.
people who live in california are crazy,why is that?
why is that,because of all the earthquakes and fires.
because of all the earthquakes and fires,but big earthquakes happen only once in a while.
but big earthquakes happen only once in a while,once in a while is once too many.
once in a while is once too many,but you're right. there are a lot of fires.
but youre right there are a lot of fires,a recent fire destroyed 85 homes.
a recent fire destroyed 85 homes,"still, it's safer than florida."
still its safer than florida,florida doesn't have earthquakes or fires.
florida doesnt have earthquakes or fires,"no, florida just has hurricanes every year from june to october."
no florida just has hurricanes every year from june to october,but most of those hurricanes are harmless.
but most of those hurricanes are harmless,"excuse me. hurricane andrew destroyed 30,000 homes!"
i went to hawaii on vacation,did you like it?
did you like it,i loved it. i want to live there.
i loved it i want to live there,what did you like?
what did you like,"the island is so green, and the water is so blue."
the island is so green and the water is so blue,did you go swimming?
did you go swimming,i went to the beach every day.
i went to the beach every day,how was the weather?
how was the weather,it was hot and sunny every day.
it was hot and sunny every day,what did you do at night?
what did you do at night,at night i went out to eat. the food was delicious.
at night i went out to eat the food was delicious,people who live in hawaii are lucky.
i like this hotel,what do you like about it?
what do you like about it,we get a free breakfast.
we get a free breakfast,coffee and a roll?
coffee and a roll,"no, a real breakfast."
no a real breakfast,bacon and eggs?
bacon and eggs,"with toast, ham, sausage, fresh fruit, and juice."
with toast ham sausage fresh fruit and juice,wow! that is nice. let's stay for two nights.
wow that is nice lets stay for two nights,"and the rooms are clean, too."
and the rooms are clean too,do they allow pets?
do they allow pets,"no pets, no smoking."
no pets no smoking,i like that. let's stay three nights.
im not sleeping here tonight,what's the matter? this is a nice room.
whats the matter this is a nice room,"maybe the room is nice, but not the bed."
maybe the room is nice but not the bed,what's wrong with the bed?
whats wrong with the bed,look at this sheet.
look at this sheet,yes?
yes,see those stains?
see those stains,i sure do.
i sure do,i'm not sleeping on that sheet.
im not sleeping on that sheet,"well, just call the front desk. they'll give us new sheets."
well just call the front desk theyll give us new sheets,i want sheets without stains on them.
i want sheets without stains on them,"from now on, let's bring our own sheets."
what time does your plane leave,it leaves at 12:15.
it leaves at 1215,when do you have to be at the airport?
when do you have to be at the airport,i have to be there two hours early.
i have to be there two hours early,so we have to be at the airport at 10:15.
so we have to be at the airport at 1015,that means we have to leave the house at 9:15.
that means we have to leave the house at 915,"well, it's an hour to get there, if there are no traffic problems."
well its an hour to get there if there are no traffic problems,so maybe we better leave at 8:15?
so maybe we better leave at 815,"yes, it's better to get there too early than too late."
yes its better to get there too early than too late,i agree.
i agree,you never know what might happen on these freeways.
you never know what might happen on these freeways,there's at least one huge accident every day.
i need to fly to new york,when are you going?
when are you going,during the christmas holidays.
during the christmas holidays,you'd better buy your ticket now.
youd better buy your ticket now,you must be kidding.
you must be kidding,"no, i'm not. it's march. time is running out. seats are selling out right now."
no im not its march time is running out seats are selling out right now,i thought i would wait until october.
i thought i would wait until october,i'll bet this is the first time you've ever flown during christmas.
ill bet this is the first time youve ever flown during christmas,you're right.
youre right,"well, listen to me. you need to buy a ticket now."
well listen to me you need to buy a ticket now,but maybe prices will be cheaper in october.
but maybe prices will be cheaper in october,cheaper prices won't do you any good if there are no seats.
i hate flying,so do i.
so do i,"a long time ago, flying used to be okay."
a long time ago flying used to be okay,now it's like riding a bus.
now its like riding a bus,you're jammed in with people all around you.
youre jammed in with people all around you,"half of them are coughing, and the other half are sneezing."
half of them are coughing and the other half are sneezing,you don't have any elbow room or knee room.
you dont have any elbow room or knee room,people are always getting up to use the bathroom.
people are always getting up to use the bathroom,kids are crying or climbing over you.
kids are crying or climbing over you,it's a flying zoo!
its a flying zoo,i wish i could afford first class seats.
i wish i could afford first class seats,doesn't everybody?
some guy rowed across the atlantic ocean,good for him.
good for him,why would he do that?
why would he do that,did he set a new record?
did he set a new record,"yes, i think he did."
yes i think he did,"well, i guess that's why he did it."
well i guess thats why he did it,what's the point?
whats the point,now he has the world record!
now he has the world record,"but someone's going to break it, so what good is it?"
but someones going to break it so what good is it,"well, he can enjoy it while it lasts."
well he can enjoy it while it lasts,i don't think he even got paid for it.
i dont think he even got paid for it,some people do it just to do it.
i want to go on a cruise ship,that sounds like fun. where do you want to go?
that sounds like fun where do you want to go,i want to cruise to hawaii.
i want to cruise to hawaii,"that should be a nice trip. lots of fun, and lots of food."
that should be a nice trip lots of fun and lots of food,i have no idea how much it will cost.
i have no idea how much it will cost,i think it depends on the season and on your cabin.
i think it depends on the season and on your cabin,"well, of course i want to go when the weather is nice."
well of course i want to go when the weather is nice,"yes, you don't want to travel in winter storms."
yes you dont want to travel in winter storms,and i want to get a big cabin with a view.
and i want to get a big cabin with a view,are you going to travel alone?
are you going to travel alone,"no, my sister and i will travel together."
no my sister and i will travel together,"well, you should go online and try to find a good deal."
i hate to fly,because of all the security?
because of all the security,"no, because it hurts my ears."
no because it hurts my ears,what do you mean?
what do you mean,"every time we land or take off, my ears hurt so much."
every time we land or take off my ears hurt so much,"that's just the altitude change, i think."
thats just the altitude change i think,"whatever it is, it hurts."
whatever it is it hurts,can't you take medicine or something for it?
cant you take medicine or something for it,"i've tried everything, but nothing works."
ive tried everything but nothing works,have you tried earplugs?
have you tried earplugs,"they don't work, either."
they dont work either,"well, be glad you're not a pilot."
spring break starts tomorrow,are you going to go anywhere?
are you going to go anywhere,i was thinking of driving to arizona.
i was thinking of driving to arizona,to the grand canyon?
to the grand canyon,yes. i've never been there.
yes ive never been there,i was there when i was a kid.
i was there when i was a kid,how did you like it?
how did you like it,i loved it. i still remember how amazing it was.
i loved it i still remember how amazing it was,"i'm sure i'll like it, too."
im sure ill like it too,you should try riding a mule on a trail to the bottom.
you should try riding a mule on a trail to the bottom,no way! i don't want to fall to my death.
no way i dont want to fall to my death,don't worry. only one person has ever fallen off a mule.
that hotel was terrible,the worst in the whole world.
the worst in the whole world,the walls were so thin.
the walls were so thin,all day long we heard tvs or telephones.
all day long we heard tvs or telephones,all night long we heard people snoring.
all night long we heard people snoring,housekeeping didn't give us fresh towels.
housekeeping didnt give us fresh towels,room service brought us a cold dinner.
room service brought us a cold dinner,our nonsmoking room stunk of cigarette smoke.
our nonsmoking room stunk of cigarette smoke,our room was right next to the elevator and the ice machine.
our room was right next to the elevator and the ice machine,they added phony charges to our bill.
they added phony charges to our bill,how did we end up in that terrible hotel?
how did we end up in that terrible hotel,the travel agent gave us a 50-percent discount!
i have to hang up im so sleepy,it's not even 10 o'clock.
its not even 10 oclock,i'm falling asleep on the phone.
im falling asleep on the phone,you got up real early.
you got up real early,i had to take my friend to the airport.
i had to take my friend to the airport,why didn't you take a nap when you got home?
why didnt you take a nap when you got home,i didn't get home until 30 minutes ago.
i didnt get home until 30 minutes ago,why is that?
why is that,there was a bomb threat at the airport.
there was a bomb threat at the airport,only a threat?
only a threat,"yes, but i was stuck there all day while they looked for the bomb."
yes but i was stuck there all day while they looked for the bomb,someday the bomb is going to be for real.
my dad went to washington dc,why did he do that?
why did he do that,"he was invited, along with about 90 other veterans."
he was invited along with about 90 other veterans,who invited them?
who invited them,some private organization.
some private organization,why did they invite him?
why did they invite him,to thank him and all the other soldiers who served in world war ii.
to thank him and all the other soldiers who served in world war ii,that's very nice.
thats very nice,my dad got to see the beautiful new world war ii monument.
my dad got to see the beautiful new world war ii monument,that trip must have cost a lot of money. 
that trip must have cost a lot of money ,he said all the money came from private donations.
that was a great trip to washington dc,"tell me about it, dad."
tell me about it dad,about 90 of us world war ii veterans got on the plane at 8 a.m.
about 90 of us world war ii veterans got on the plane at 8 am,how long was the flight?
how long was the flight,it only took about two hours.
it only took about two hours,did you take pictures at the world war ii monument?
did you take pictures at the world war ii monument,"oh, yes. we all took lots of pictures."
oh yes we all took lots of pictures,then you flew back home that evening?
then you flew back home that evening,"yes. when we landed, tv reporters and the army band were there."
yes when we landed tv reporters and the army band were there,that must have made you feel really special.
that must have made you feel really special,"oh, it did. there were about 300 people there to honor us."
oh it did there were about 300 people there to honor us,"well, you all deserve it. you helped save our country."
i need a job,i thought you had a job.
i thought you had a job,i did.
i did,what happened?
what happened,i got laid off.
i got laid off,that's terrible! when did it happen?
thats terrible when did it happen,i got laid off last week.
i got laid off last week,just you?
just you,"no, ten of my coworkers got laid off, too."
no ten of my coworkers got laid off too,what are you going to do?
what are you going to do,i'm looking in the newspaper for a job.
im looking in the newspaper for a job,good luck!
before you go to that interview check yourself,what's to check?
whats to check,are your nails clean?
are your nails clean,"yes, they are."
yes they are,did you double-check your nose and teeth?
did you doublecheck your nose and teeth,"they are clean, too."
they are clean too,did you shine your shoes?
did you shine your shoes,my shoes are shined.
my shoes are shined,do your socks match?
do your socks match,of course they match.
of course they match,"no, they don't. one is black and one is dark blue."
no they dont one is black and one is dark blue,yikes! thank you.
life is hard,it sure is.
it sure is,i thought school was hard.
i thought school was hard,"me, too. i couldn't wait to graduate."
me too i couldnt wait to graduate,"but now work is hard, too."
but now work is hard too,i agree. work is just as hard as school.
i agree work is just as hard as school,sometimes i wish i was back in school.
sometimes i wish i was back in school,"me, too. school was fun."
me too school was fun,and it was only 12 years.
and it was only 12 years,it went by pretty fast.
it went by pretty fast,but work goes on forever!
but work goes on forever,we have to work for 30 years!
im sleepy,so am i.
so am i,i had a long day.
i had a long day,so did i.
so did i,i didn't even have lunch.
i didnt even have lunch,neither did i.
neither did i,i was busy the whole day.
i was busy the whole day,so was i.
so was i,i had to bring work home with me.
i had to bring work home with me,i did too.
i did too,your day was just like mine.
your day was just like mine,of course it was. we work together!
i dont like my job,what do you do?
what do you do,i'm a babysitter.
im a babysitter,is that a lot of work?
is that a lot of work,babies cry all the time.
babies cry all the time,you have to change their diapers.
you have to change their diapers,i have to feed them.
i have to feed them,are you looking for another job?
are you looking for another job,"no, i'm looking for another family."
no im looking for another family,another family?
another family,a family with only one baby.
a family with only one baby,that's a good idea.
i need a job,what was your last job?
what was your last job,i was a painter.
i was a painter,what happened?
what happened,i got laid off because there was no work.
i got laid off because there was no work,what else can you do?
what else can you do,i'm a handyman.
im a handyman,can you fix a dripping faucet in a kitchen sink?
can you fix a dripping faucet in a kitchen sink,of course.
of course,then i have a job for you in my kitchen.
then i have a job for you in my kitchen,it will cost you only $20 plus parts.
it will cost you only 20 plus parts,okay. that sounds like a fair price.
what would you do if you lost your job,i have no idea. i've been here for 20 years.
i have no idea ive been here for 20 years,do you have any other skills?
do you have any other skills,"well, i know how to flip hamburgers."
well i know how to flip hamburgers,no one would hire you to flip hamburgers.
no one would hire you to flip hamburgers,have you heard something that you're not telling me?
have you heard something that youre not telling me,what do you mean?
what do you mean,are there going to be layoffs at this place?
are there going to be layoffs at this place,i certainly hope not!
i certainly hope not,"if you got laid off, you'd be flipping hamburgers, too."
if you got laid off youd be flipping hamburgers too,"oh great, we could both work at burger king."
oh great we could both work at burger king,"maybe we'd get laid off there, too."
do your students ever talk about their jobs,"yes, and they ask me what jobs are the best."
yes and they ask me what jobs are the best,i tell my students to become a teacher.
i tell my students to become a teacher,teaching is a great job.
teaching is a great job,it's the best job i've ever had.
its the best job ive ever had,what makes it so good?
what makes it so good,"for me, it's the students."
for me its the students,what do you mean?
what do you mean,i mean i have wonderful students.
i mean i have wonderful students,that must be nice.
that must be nice,teaching is the best part of my whole day.
teaching is the best part of my whole day,you're a lucky man to have a job you love.
boy im glad that job is finished,how long did it take?
how long did it take,"four hours, without a break."
four hours without a break,it's always nice to finish a job.
its always nice to finish a job,"well, it's good and bad."
well its good and bad,what's bad about it?
whats bad about it,"when you finish, all you do is start another job!"
when you finish all you do is start another job,"yes, that's right. it does get boring."
yes thats right it does get boring,"especially if it's the same work, over and over."
especially if its the same work over and over,but that's what most people do.
but thats what most people do,"yes, i guess most of us are stuck in a routine."
yes i guess most of us are stuck in a routine,i wonder if there is any job that you don't repeat over and over.
i think i have the worst boss in the world,what makes him so bad?
what makes him so bad,he's rude and he yells a lot.
hes rude and he yells a lot,that's hard to take.
thats hard to take,i've never heard him say please or thank you.
ive never heard him say please or thank you,he sounds like a real jerk.
he sounds like a real jerk,no one at work likes him.
no one at work likes him,can't you report him to his supervisor?
cant you report him to his supervisor,"of course not. if i do that, i'll lose my job."
of course not if i do that ill lose my job,"yes, they don't like troublemakers or complainers."
yes they dont like troublemakers or complainers,"i can't quit, because i'm making a good salary."
i cant quit because im making a good salary,you shouldn't choose money over happiness.
what are we going to do,about what?
about what,about finding a job for me.
about finding a job for me,you don't need a job. i make enough money for both of us.
you dont need a job i make enough money for both of us,that doesn't matter. i don't want to sit around.
that doesnt matter i dont want to sit around,"okay, what kind of job do you want?"
okay what kind of job do you want,i'm not sure.
im not sure,"well, you should do something that you enjoy."
well you should do something that you enjoy,i enjoy selling. i was born to sell.
i enjoy selling i was born to sell,"okay, what do you want to sell?"
okay what do you want to sell,cigarette lighters. i'll make a fortune.
cigarette lighters ill make a fortune,but you hate cigarettes and you hate smoking!
a new hotel is looking for workers,"yes, i saw it on the tv news."
yes i saw it on the tv news,they need 300 new workers.
they need 300 new workers,"and 4,000 people showed up."
and 4000 people showed up,so many people are out of work.
so many people are out of work,"i still have my job, thank goodness."
i still have my job thank goodness,"so do i, but i'm worried."
so do i but im worried,me too. there are no guarantees.
me too there are no guarantees,"if you lose your job, you can move in with me."
if you lose your job you can move in with me,"oh, thank you. that's very nice of you."
oh thank you thats very nice of you,you would do the same for me.
you would do the same for me,of course. what are friends for?
i think i did something real stupid,what did you do?
what did you do,i bought some stock.
i bought some stock,everybody buys stock.
everybody buys stock,i bought it on a hunch.
i bought it on a hunch,you didn't read about the company first?
you didnt read about the company first,i didn't have to. it's been in business for 60 years.
i didnt have to its been in business for 60 years,so what's the problem?
so whats the problem,i used all my savings on this one company.
i used all my savings on this one company,you put all your eggs into one basket.
you put all your eggs into one basket,"if the company goes out of business, i'll have nothing."
if the company goes out of business ill have nothing,"oh, you'll have somethingâ—you'll have a lesson you'll never forget!"
i was going to be a doctor,what happened to your plans?
what happened to your plans,i got a d in college chemistry.
i got a d in college chemistry,"well, a d is better than an f."
well a d is better than an f,a tutor helped me get the d!
a tutor helped me get the d,"so, you didn't become a doctor."
so you didnt become a doctor,and now i'm glad that i didn't.
and now im glad that i didnt,why's that?
whys that,a hospital is the most dangerous place in the world.
a hospital is the most dangerous place in the world,"oh, yes, because of all the killer germs."
